Unnamed: 0,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,geometry,cordon_flag,SF_flag
973,2226,10.589711918908156,13.44145294481488,2.444957084630858,0.2815182398007859,0.391485558041917,28015.28376306808,"POLYGON ((-2171000 42000, -2171000 43000, -2170000 43000, -2170000 42000, -2171000 42000))",False,False
974,2227,9.543369805881358,11.602028530453858,2.068789230994342,0.2373398649375239,0.3577697461219307,23612.94315350834,"POLYGON ((-2171000 43000, -2171000 44000, -2170000 44000, -2170000 43000, -2171000 43000))",False,False
975,2228,8.67231505902405,7.563058204832677,1.0807803698244978,0.1247818622773072,0.2145452912895022,12380.823565047513,"POLYGON ((-2171000 44000, -2171000 45000, -2170000 45000, -2170000 44000, -2171000 44000))",False,False
976,2229,4.898167212795539,3.0297907721461064,0.2905248314435215,0.0353147504822759,0.0588856863228875,3484.368610946393,"POLYGON ((-2171000 45000, -2171000 46000, -2170000 46000, -2170000 45000, -2171000 45000))",False,False
977,2230,8.836682245534405,7.283662270329136,0.985459015733115,0.1159775717483949,0.1728633348365643,11516.434958954733,"POLYGON ((-2171000 46000, -2171000 47000, -2170000 47000, -2170000 46000, -2171000 46000))",False,False
978,2231,6.429674232577877,5.775971117516733,0.73653196737053,0.0871394916587156,0.1315913637011683,8661.294227183686,"POLYGON ((-2171000 47000, -2171000 48000, -2170000 48000, -2170000 47000, -2171000 47000))",False,False
979,2232,6.800668285946917,8.970760281694227,1.6898097672713817,0.1928467954040018,0.2715436266400527,19192.05426390102,"POLYGON ((-2171000 48000, -2171000 49000, -2170000 49000, -2170000 48000, -2171000 48000))",False,False
980,2243,0.8657829959096917,0.7701271905511458,0.1083540787559025,0.0124561726717642,0.0321231881405531,1233.005034614833,"POLYGON ((-2172000 -12000, -2172000 -8000, -2168000 -8000, -2168000 -12000, -2172000 -12000))",False,False
981,2244,38.06383627812932,39.179841339614896,4.802716160369824,0.5599517933166323,1.0336506326203247,55575.900185129016,"POLYGON ((-2172000 -8000, -2172000 -4000, -2168000 -4000, -2168000 -8000, -2172000 -8000))",False,False
982,2247,18.36869273041991,24.837086841148786,4.624600789174759,0.5352396668877543,0.7489644597079048,53317.74045197188,"POLYGON ((-2172000 52000, -2172000 56000, -2168000 56000, -2168000 52000, -2172000 52000))",False,False
983,2248,8.914739826789527,9.410554644064142,1.5914099206587504,0.1892571343702857,0.3535455026428672,18813.785308848648,"POLYGON ((-2172000 56000, -2172000 60000, -2168000 60000, -2168000 56000, -2172000 56000))",False,False
984,2249,5.563344138175645,4.352131861639716,0.5285566309872003,0.0635526921652633,0.1378605183438551,6296.805829688759,"POLYGON ((-2172000 60000, -2172000 64000, -2168000 64000, -2168000 60000, -2172000 60000))",False,False
985,2250,12.285558611621855,15.349113460822368,2.7341173244065766,0.3188291875715615,0.6187069858980504,31713.28131455556,"POLYGON ((-2172000 64000, -2172000 68000, -2168000 68000, -2168000 64000, -2172000 64000))",False,False
986,2251,15.388493839244594,22.885895263210497,4.561395300842465,0.530876452610626,0.8558036436346068,52859.37245405623,"POLYGON ((-2172000 68000, -2172000 72000, -2168000 72000, -2168000 68000, -2172000 68000))",False,False
987,2252,2.385129868595508,1.5017953705563205,0.1592760973478952,0.0188234661662306,0.0413869326734219,1857.8322573469663,"POLYGON ((-2172000 72000, -2172000 76000, -2168000 76000, -2168000 72000, -2172000 72000))",False,False
988,2253,0.7788674273397544,0.9940668713421696,0.1972075676374453,0.0213195430451525,0.0546881648743743,2118.297016362514,"POLYGON ((-2172000 76000, -2172000 80000, -2168000 80000, -2168000 76000, -2172000 76000))",False,False
989,2254,2.226034607874051,5.7807550710400255,1.3428195812980124,0.148869378939477,0.2211505697791777,14841.630510053592,"POLYGON ((-2172000 80000, -2172000 84000, -2168000 84000, -2168000 80000, -2172000 80000))",False,False
990,2255,10.578901151811086,19.00911599614925,3.928238909716127,0.4467938734794967,0.6620914458551522,44527.35795655877,"POLYGON ((-2172000 84000, -2172000 88000, -2168000 88000, -2168000 84000, -2172000 84000))",False,False
991,2256,12.196599790827747,18.027069362454025,3.2212011172780115,0.3632789765579518,0.5635094369575674,36166.01349073171,"POLYGON ((-2172000 88000, -2172000 92000, -2168000 92000, -2168000 88000, -2172000 88000))",False,False
992,2257,39.70200682939574,30.935765202027227,2.754717406164803,0.3306572146810301,0.6094748529920824,32658.500502052782,"POLYGON ((-2172000 92000, -2172000 96000, -2168000 96000, -2168000 92000, -2172000 92000))",False,False
993,2258,8.387877190212645,4.179188668708859,0.2735339919565924,0.0370987875441382,0.078647825113304,3633.4599614235576,"POLYGON ((-2172000 100000, -2172000 104000, -2168000 104000, -2168000 100000, -2172000 100000))",False,False
