Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Duration Person SUM Car HOV3 Emergency [h],8527.139444,8451.581944,8538.360278,8591.890556,8481.975833,8337.955,8325.478333,8596.033611,8455.094444,8274.309167,8309.133333,8483.059167,8353.003611,8532.881944,8427.16,8052.704167,8029.702778,8291.890556,8265.487222,8253.066667,8208.810833,8045.540278,7630.734444,8121.012222,8070.673333,7999.896944,8028.313889,7751.246667,7355.485556,7924.859167,7915.383889,7810.635556,7765.615833,7674.449444,7162.622778,8008.185833,8008.073056,8063.950833,7978.475278,7965.718889,7782.481667,7384.245,2124
Duration Person SUM Ride Hail [h],14115.45972,14830.14028,13314.06139,20472.54917,24241.13,37138.05083,48979.11833,22087.89083,25610.92528,37974.93361,50185.55111,15171.3025,14496.71778,23490.9525,27867.24528,47766.93556,72468.0475,15747.55694,15040.00694,24588.48944,29903.68972,54749.36333,92677.76639,16250.10333,15630.4275,25808.33417,31140.46444,60401.63139,117000.6211,16522.79111,16281.00583,26668.10694,32570.03222,64370.69139,134394.8578,20354.42583,19505.65667,18982.93389,30985.16556,37608.92472,72519.85472,135662.7353,2125
Duration Person SUM Empty Ride Hail [h],64.36555556,71.27055556,47.1875,59.28138889,71.14472222,72.44555556,99.43055556,73.3925,62.44166667,84.76916667,113.8177778,53.785,46.40638889,63.46333333,64.07138889,97.47,108.8925,48.44472222,44.0375,53.53583333,70.23111111,101.3686111,116.9433333,50.09388889,44.55388889,58.11888889,62.97833333,134.2736111,138.3636111,37.36527778,48.95277778,59.64055556,72.00527778,168.0925,126.48,55.14888889,44.67,42.80833333,48.87361111,58.44138889,107.0086111,105.5602778,2126
Duration Person SUM Ride Hail WC [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2127
Duration Person SUM Empty Ride Hail WC [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128
Duration Person SUM CAV [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129
Duration Person SUM Car HOV2 [h],95711.62583,95436.88139,96209.65611,95807.50944,95378.02722,95363.64722,96194.62167,96260.11306,95551.85556,95696.73778,96484.83028,95086.04583,94990.32333,95373.78083,94593.68556,94714.525,95092.97083,94190.02639,94377.27167,94526.49556,94531.8775,93886.74444,93826.64667,92894.12583,93333.5,92638.73667,93132.22611,92646.00472,91990.09972,92056.90528,92161.04556,91669.14833,91772.75556,91506.53194,90039.22639,92617.49556,92517.99306,92820.11556,92527.22472,92374.67306,92311.02778,91843.14111,2130
Duration Person SUM Car HOV3 [h],65490.72639,65281.69556,65526.21778,65594.56222,65696.93083,65477.38,66458.6575,65755.77917,65965.63417,65517.90528,66310.04889,64654.27944,65242.5725,65070.89472,64794.24444,64428.53361,65063.53278,64223.04361,64160.4225,64039.4175,63895.48861,63627.78056,63737.11444,63058.75472,62966.51083,63043.95806,62914.99917,63049.85639,61687.98972,61875.70056,61584.77,61772.85639,61765.68139,61490.48806,61135.56806,62748.29444,62350.15806,63162.57194,62461.99111,62695.25167,62339.31167,61530.56944,2131
Duration Person SUM Bus [h],117663.8558,117733.3436,118037.5508,117092.3319,116812.2781,115015.2939,112080.2036,117057.9881,116340.3386,114118.9625,111771.0897,123985.1675,123612.0325,122932.4956,122166.1808,119413.2931,115237.5717,128408.8908,128144.7853,127925.6017,127440.9978,124422.1267,118514.2828,134329.1728,134903.0328,134106.3447,133625.0281,130573.3078,122564.4994,139646.9103,139894.3492,139535.4303,138869.7375,135901.5378,126026.1328,139003.9508,138660.4922,137521.1258,137699.0047,138012.0417,136888.8667,129655.8889,2132
Duration Person SUM Tram [h],15017.00444,14903.66722,15022.58278,14966.76,14909.06444,14906.09639,14698.57167,14835.48,14870.13639,14790.11028,14664.6075,15249.23917,15278.22472,15089.18306,15212.62,15015.93056,14786.92222,15500.22389,15325.72,15308.74278,15498.58139,15320.38583,14974.64722,15692.51806,15767.82528,15720.7275,15654.24611,15368.44639,15115.55778,15896.51306,15975.07111,15909.39583,15927.85583,15710.41111,15161.73139,15927.17889,15881.53,16062.84722,15976.49722,15921.45889,15930.26389,15650.35056,2133
Duration Person SUM Rail [h],2615.5,2675.966667,2795.066667,2680.983333,2718.533333,2578.35,2567.183333,2642.716667,2676.183333,2672.966667,2568.35,2876.066667,2826.133333,2852.466667,2824.65,2767.083333,2688.383333,2957,3019.583333,3028.116667,3155.4,2959.216667,2741.016667,3348.133333,3386.8,3386.25,3384.65,3259.266667,3039.266667,3830.083333,3805,3787.55,3895.8,3674.2,3180.633333,3927.066667,3920.566667,3829.833333,3965.8,3813.35,3885.55,3413.866667,2134
Duration Person SUM Subway [h],27483.3,27750.68333,27552,27320.95,27417.03333,27040.25,26654.08333,27369.53333,27424.9,27015.35,26364,28210.46667,27977.36667,28316.41667,28034.26667,27742.46667,26828.45,28912.26667,28909.55,28787.53333,28923.9,28221.06667,27208.15,30144.35,30099.6,29988.63333,29993.2,29625.05,28234.91667,31538.41667,31703.06667,31414.7,31354.15,31161.1,29350.21667,32007.76667,31997.46667,31889.86667,31934.7,31876.78333,31835.46667,29754.11667,2135
Duration Person SUM Cable Car [h],1085.866667,1087.471944,1125.861111,1095.551667,1071.3425,1119.8825,1069.528333,1072.5,1065.075556,1129.671389,1031.429444,1137.666389,1113.463333,1130.133333,1094.92,1109.259167,1081.654722,1146.090556,1140.328611,1160.8375,1111.024444,1157.0125,1108.073333,1137.8025,1157.818333,1151.546667,1143.438056,1093.221111,1124.339444,1141.845833,1141.659167,1150.790556,1150.895833,1106.146944,1091.431667,1135.199444,1169.900556,1195.119167,1191.294167,1205.918056,1169.865278,1126.955,2136
Duration Person SUM Ferry [h],48.25,52.41666667,47.33333333,57.16666667,37.5,45.83333333,31.5,54.58333333,53.5,40.91666667,40.66666667,43.91666667,41.66666667,52.75,55,33.66666667,35.91666667,40.91666667,46.25,42.5,60.75,35.33333333,34.25,50.66666667,52.91666667,54.66666667,46.83333333,47.5,44,55.91666667,62.58333333,61.16666667,57.33333333,48.08333333,43,65.91666667,63.25,66,69.08333333,56.25,59.91666667,46.08333333,2137
Duration Person SUM Empty Bus [h],0.234444444,0.209444444,0.031944444,0.407222222,0.151944444,0.106111111,0.238333333,0.202222222,0,0.106666667,0.188333333,0.028055556,0.016111111,0.114722222,0.373888889,0.6825,0.526944444,0.352222222,0.580277778,1.520555556,0.942222222,0.503333333,0,0.649166667,0.028888889,0.197777778,0.4725,0.060277778,0.079444444,0.118055556,0.062222222,0.109166667,0.108055556,0.169722222,0.466666667,0.045277778,0.524166667,0.120555556,0.141666667,0.718333333,0.100833333,0.386388889,2138
Duration Person SUM Empty Tram [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139
Duration Person SUM Empty Rail [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140
Duration Person SUM Empty Subway [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141
Duration Person SUM Empty Cable Car [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142
Duration Person SUM Empty Ferry [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143
Duration Person SUM SF [h],38147.58667,38177.33306,38290.21222,38132.93167,38014.54333,38069.24694,37585.96417,38127.03056,38086.92056,37876.45833,37260.38833,38819.24528,38676.48944,38660.40028,38724.38556,38758.0625,37825.17833,39511.77722,39015.15611,39174.47083,39316.60167,38952.49333,38139.39028,39671.41111,39818.06694,39708.27639,39686.42944,39190.65028,38434.28361,40065.32694,40188.92583,40205.295,40076.51917,39613.87361,38509.92167,40547.78944,40550.69833,40817.17083,40663.03194,40641.6175,40564.06472,39825.58167,2144
Duration Person SUM AC [h],29169.18639,29572.91167,29575.07222,28957.9275,28625.78,28372.12833,27819.475,28913.53694,28820.32167,28074.44667,27498.87694,30925.2575,30857.795,30537.44083,30399.05056,29543.00444,28403.9025,31988.56889,31988.03111,32011.54139,32137.6975,31143.49333,29525.47889,33467.70389,34048.14917,34028.80056,33833.16,32901.95139,30606.10083,35356.215,35519.41278,35381.08361,35404.1875,34588.88,31458.80472,35457.22306,35374.33222,34664.06583,34941.1525,35239.69944,35058.79972,32371.35472,2145
Duration Person SUM SC [h],43.29166667,36.23333333,40.64166667,41.70833333,37.7,40.94166667,39.23333333,38.08333333,33.31666667,32.01666667,38.325,40.4,42.775,36.86666667,37.61666667,35.65,37.24166667,41.525,40.225,33.60833333,34.21666667,41.10833333,38.55,40.94166667,41.00833333,39.45,35.775,41.70833333,37.9,44.06666667,40.81666667,39.775,42.15,40.28333333,40.93333333,39.625,40.25833333,37.66666667,36.83333333,38.125,39.075,37.59166667,2146
Duration Person SUM VT [h],33818.67444,33497.67,33657.36528,33674.43722,33844.52833,33265.96528,32577.48417,33655.88528,33421.40111,33192.32389,32819.29917,35465.62222,35722.41,35256.64444,34884.24611,34288.58333,33544.61056,36469.79333,36924.79694,36274.95556,36229.61667,35593.16361,34286.60944,38333.26972,38251.47139,38151.39306,37908.01889,37171.37278,35272.72306,39565.20944,39424.38917,39541.40889,39433.01972,38575.88306,36041.21667,39628.03917,39435.2225,39420.57833,39693.53667,39384.6025,39064.70222,37594.00389,2147
Duration Person SUM ST [h],8944.953056,8843.392778,8814.315833,8759.428056,8796.691944,8479.516944,8236.293889,8783.935833,8715.983056,8393.380278,8302.708611,9361.328611,9405.028333,9356.036111,9262.699444,9013.224722,8569.946944,9919.148611,9723.87,9782.457222,9743.819444,9577.166389,8890.415556,10393.15528,10411.88778,10322.03583,10359.98111,10160.99278,9202.130556,10717.04139,10865.45194,10854.835,10796.47028,10562.55889,9637.240556,10624.37083,10558.25056,10586.60889,10423.50556,10518.9075,10490.97861,9825.850278,2148
Duration Person SUM CT [h],1165.7825,1163.6225,1189.126389,1162.931667,1162.9125,1097.436944,991.7341667,1137.1525,1141.830556,1064.955556,979.0438889,1263.205,1244.685,1300.870833,1242.545556,1171.851667,1063.030278,1361.366667,1321.749444,1384.905556,1299.642222,1279.390556,1118.224444,1434.167222,1458.143333,1427.608611,1429.259167,1366.981944,1232.1375,1491.828056,1539.646389,1550.820556,1505.254167,1463.083333,1275.122222,1443.161111,1451.559722,1457.217222,1439.704722,1461.486389,1450.671667,1276.983056,2149
Duration Person SUM CC [h],3704.041944,3726.869167,3820.371389,3797.136667,3753.417222,3563.431389,3281.905833,3746.726944,3685.628611,3489.136944,3274.921667,4085.730278,4007.236111,4092.104167,4013.409167,3740.754444,3507.6775,4321.371667,4295.108333,4352.607222,4249.648611,4113.636111,3711.958056,4721.4325,4656.898611,4583.368611,4707.3275,4394.185,3980.629722,4797.110278,4965.841944,4898.064167,4856.96,4635.34,4245.839167,4747.277222,4703.183611,4593.251944,4659.367778,4704.891944,4661.688333,4276.258889,2150
Duration Person SUM GG [h],5538.296944,5454.488889,5563.583611,5472.196944,5517.413889,5426.444722,5343.245833,5540.052222,5597.142222,5369.954722,5312.495556,5768.750833,5781.333889,5691.773056,5709.974444,5570.378611,5341.091944,6006.1525,5881.541944,6034.523333,5907.705,5776.324444,5495.431111,6382.034167,6237.831389,6209.145278,6192.636667,6008.646667,5784.761389,6721.378056,6662.535556,6607.049444,6465.513611,6394.3525,5996.036111,6538.550556,6617.855556,6597.5375,6498.8,6553.248611,6372.632778,6125.876389,2151
Duration Person SUM TD [h],1442.195556,1456.1925,1403.597222,1404.893611,1388.780833,1400.507222,1327.768611,1374.675278,1429.355278,1409.296389,1303.712222,1627.047778,1509.743889,1506.281944,1557.268056,1447.786667,1426.699722,1700.712778,1655.79,1626.698889,1544.908056,1571.603333,1462.805278,1791.141944,1771.393889,1732.735556,1765.773333,1731.900833,1570.578333,1878.800278,1855.223056,1841.811944,1820.155556,1772.646944,1615.163333,1855.644444,1782.599167,1726.659444,1732.995556,1684.5125,1732.266944,1612.198056,2152
Duration Person SUM 3D [h],2212.763056,2271.7625,2178.388611,2186.441667,2185.934167,2142.2975,2025.523333,2160.858333,2111.960556,2113.612222,2003.368611,2422.971667,2329.918889,2305.649722,2348.533889,2254.625,2197.080556,2554.731944,2510.670556,2461.403333,2439.063611,2359.070833,2237.716944,2668.305278,2720.373333,2651.93,2694.540278,2612.206111,2422.330278,2865.544722,2778.668333,2877.322778,2820.373333,2674.764167,2470.628611,2864.948333,2801.248889,2704.480556,2726.8075,2678.715833,2703.175556,2492.645278,2153
Duration Person SUM MA [h],1288.858333,1293.645833,1253.735556,1254.22,1243.47,1214.126667,1169.200833,1247.143333,1277.263889,1211.328056,1146.0975,1432.593056,1381.338056,1359.758056,1435.424444,1362.836667,1231.284722,1507.554167,1549.140833,1507.425278,1507.283611,1428.983611,1316.340278,1680.809444,1684.259722,1640.934167,1587.600278,1564.216944,1415.143056,1786.008611,1844.804167,1758.045833,1703.194722,1651.508889,1486.083333,1637.27,1707.213889,1606.924444,1542.316389,1617.58,1591.4675,1469.26,2154
Duration Person SUM BA [h],27483.3,27750.68333,27552,27320.95,27417.03333,27040.25,26654.08333,27369.53333,27424.9,27015.35,26364,28210.46667,27977.36667,28316.41667,28034.26667,27742.46667,26828.45,28912.26667,28909.55,28787.53333,28923.9,28221.06667,27208.15,30144.35,30099.6,29988.63333,29993.2,29625.05,28234.91667,31538.41667,31703.06667,31414.7,31354.15,31161.1,29350.21667,32007.76667,31997.46667,31889.86667,31934.7,31876.78333,31835.46667,29754.11667,2155
Duration Person SUM SM [h],403.3361111,416.8263889,418.9047222,392.7819444,397.5563889,388.0872222,364.16,423.5252778,394.1022222,386.0275,374.4355556,458.0463889,454.8980556,453.4216667,442.1025,412.5375,428.4694444,490.42,478.3063889,502.1297222,503.4802778,465.5561111,426.5602778,533.0625,533.4477778,487.5058333,517.5319444,511.0947222,464.9269444,575.9852778,554.9444444,563.4683333,530.7777778,561.9222222,484.665,540.9383333,550.9863889,521.5311111,531.2491667,556.0302778,532.6513889,511.7086111,2156
Duration Person SUM SO [h],1425.443056,1427.121389,1424.476944,1505.245556,1470.124167,1365.151667,1261.609167,1414.349444,1390.1275,1343.329722,1318.571667,1599.177778,1644.476667,1588.818333,1562.751111,1479.738333,1358.334722,1762.117778,1743.4825,1718.495556,1675.159722,1596.181667,1473.914444,1950.3775,1984.515,1879.038333,1880.262222,1799.178056,1608.634722,2103.8325,2067.956944,2027.533333,2033.921944,1963.800833,1706.553611,1944.173333,1912.917778,1993.387222,1895.225833,1895.4425,1849.908611,1703.131389,2157
Duration Person SUM SR [h],1534.134167,1462.668056,1523.2275,1465.873056,1471.741389,1431.731389,1330.809167,1434.285833,1430.523333,1386.156389,1373.400278,1660.548333,1621.289722,1673.93,1557.695833,1538.936667,1414.091667,1763.861667,1744.869167,1756.352778,1762.708889,1642.706111,1504.136111,1889.566667,1910.226667,1901.857222,1829.345833,1769.243611,1594.739167,1981.484722,1954.101944,1972.936389,1979.4575,1885.735,1648.177778,1873.673056,1882.156667,1831.92,1883.643889,1849.004167,1842.365556,1727.89,2158
Duration Person SUM WH [h],1396.723333,1366.465278,1434.338333,1394.256111,1372.265833,1328.890833,1238.749722,1413.611111,1360.316389,1334.613333,1213.961667,1583.177778,1531.610278,1534.810278,1516.472778,1397.451111,1312.069722,1632.212778,1716.023056,1692.027778,1569.626944,1517.048056,1382.908889,1818.826944,1870.666667,1858.231944,1699.406389,1664.017778,1462.894167,1981.771111,1964.931111,1830.4525,1929.098889,1843.661667,1640.851667,1838.411389,1807.753611,1731.253333,1750.861667,1823.703611,1714.601667,1572.984444,2159
Duration Person SUM we [h],1140.803611,1163.611667,1223.5625,1156.794167,1169.136944,1190.116667,1099.497778,1257.908056,1124.329444,1121.17,1139.146389,1309.225,1223.353056,1263.6,1200.041944,1181.68,1154.396944,1319.1375,1308.681111,1340.784167,1313.708889,1273.467778,1193.863889,1430.753333,1448.791667,1357.129722,1395.413333,1297.728333,1236.370556,1542.058333,1569.714167,1496.247222,1436.521389,1405.978889,1341.742222,1484.363333,1437.485833,1447.204722,1429.944722,1434.618611,1432.503333,1329.674444,2160
Duration Person SUM VN [h],982.3091667,991.8263889,973.7975,998.7802778,969.0497222,923.0966667,848.4002778,946.3477778,932.4652778,899.3208333,807.1913889,1072.919167,1062.835833,1051.121667,1093.021389,888.4072222,899.2316667,1137.538889,1147.465556,1137.236389,1175.972778,1064.731389,960.5766667,1232.550833,1280.320278,1246.788611,1210.301111,1185.065278,1020.071667,1386.758611,1351.796667,1368.036389,1333.449167,1314.259444,1090.0175,1259.430833,1281.797222,1266.763056,1283.799167,1271.888611,1235.865278,1064.421389,2161
Duration Person SUM un [h],323.8961111,341.7138889,339.2963889,335.2855556,338.605,339.7755556,310.7294444,354.3369444,316.2541667,330.2988889,323.2922222,367.1325,380.2008333,370.2030556,378.2680556,352.5480556,368.9863889,388.7022222,398.3580556,398.1827778,401.9097222,358.3625,340.3116667,409.1941667,419.1802778,430.9983333,430.2694444,400.2966667,353.4591667,458.3508333,464.3725,437.8077778,444.6369444,463.4061111,404.5958333,434.7461111,469.4944444,438.1625,437.2627778,441.2347222,421.1766667,395.3497222,2162
Duration Person SUM EM [h],180.5875,160.8,175.6541667,175.575,178.8541667,175.7791667,159.2,171.6333333,163.9333333,191.0375,154.0333333,185.2125,174.9666667,174.5083333,202.225,186.7416667,179.775,195.3208333,192.1458333,195.7041667,203.4416667,184.6041667,188,221.1,210.7416667,234.6291667,198.4541667,226.4833333,187.4375,230.0625,239.1333333,237.2833333,218.8083333,231.2,202.6666667,236.1375,246.275,234.7958333,232.2875,242.0458333,227.0125,211.15,2163
Duration Person SUM VC [h],361.6036111,331.9861111,352.6861111,355.9755556,326.3488889,347.0408333,339.4963889,304.7805556,333.5861111,323.5775,320.875,341.3805556,365.6102778,359.7313889,357.6961111,359.0155556,341.8108333,388.0411111,382.0061111,403.3516667,404.1980556,381.4275,353.4327778,434.3622222,413.7933333,420.62,402.4488889,394.7433333,361.2458333,429.4013889,440.0172222,433.095,416.2616667,408.8944444,385.4127778,397.7119444,404.1711111,406.6255556,376.9638889,412.1130556,366.8569444,391.7161111,2164
Duration Person SUM pe [h],209.8980556,203.9441667,186.5713889,204.9711111,188.5841667,170.6613889,177.5413889,192.2241667,179.825,170.3077778,195.0483333,200.5927778,208.4133333,204.0758333,204.2375,199.0269444,174.6058333,223.1527778,208.1413889,220.9111111,214.8883333,209.3077778,199.7991667,227.08,229.9666667,232.3219444,225.1597222,232.98,196.005,238.3683333,244.6266667,227.7436111,235.0619444,235.4186111,203.3075,222.8844444,216.2094444,228.6733333,223.4713889,211.0566667,217.0127778,204.4119444,2165
Duration Person SUM CM [h],232.2844444,257.2716667,254.9627778,221.6577778,222.3502778,222.9555556,221.1380556,230.1294444,235.5469444,227.7991667,220.6936111,246.3444444,266.3025,267.5,240.2052778,262.6488889,230.1033333,265.7527778,264.4361111,259.1038889,291.9633333,253.5386111,239.0952778,282.5413889,300.2866667,300.355,296.3125,293.0925,253.7405556,320.0294444,320.4152778,315.4383333,320.3533333,288.7130556,256.7802778,305.8563889,317.825,302.1258333,306.8666667,315.6688889,275.5455556,278.1355556,2166
Duration Person SUM DE [h],84.05138889,92.43972222,75.42722222,90.99138889,101.2116667,71.31444444,86.49083333,83.78777778,77.06944444,85.68888889,78.93083333,114.1527778,96.10583333,90.29472222,88.25916667,76.74305556,85.6975,87.11527778,99.94555556,105.4361111,104.3380556,98.59472222,91.92833333,124.0988889,102.0616667,115.5716667,112.4466667,97.49388889,88.75194444,128.8977778,120.7841667,109.5072222,116.5358333,110.3347222,111.5930556,112.4777778,127.6716667,135.3033333,123.3758333,127.3811111,118.7336111,111.5366667,2167
Duration Person SUM ca [h],2074.983333,2142.166667,2208.983333,2155.633333,2150.566667,2038.616667,2041.266667,2080.45,2116.25,2119.5,2078.25,2292.783333,2252.15,2309.866667,2247.966667,2237.166667,2166.35,2353.283333,2431.316667,2421.25,2491.116667,2372.666667,2191.116667,2697.25,2694.933333,2699.283333,2750.266667,2665.183333,2416.116667,3092.516667,2992.4,3062.6,3149.75,2953.433333,2599.483333,3115.833333,3143.45,3088.65,3182.616667,3028.083333,3100.85,2779.166667,2168
Duration Person SUM ri [h],14188.73278,14912.11167,13372.04056,20539.10722,24322.08306,37219.87472,49086.25056,22169.445,25684.47528,38067.33861,50304.73556,15241.24583,14552.81083,23562.84833,27941.68917,47875.27389,72582.33667,15809.76333,15098.68694,24658.34528,29988.35583,54863.82778,92806.95139,16314.40306,15694.46556,25880.13833,31222.10694,60549.44333,117151.2708,16575.05222,16356.06778,26742.22,32667.26861,64563.5025,134541.7078,20434.73444,19579.215,19048.59472,31062.3225,37697.36111,72646.81972,135786.0233,2169
Duration Person SUM AM [h],409.4666667,399.3666667,448.0333333,400.55,432.6166667,420.4833333,398.85,413.7833333,417.0833333,421.0833333,378.65,449.0833333,440.8166667,400.6833333,430.1166667,394.9,397.55,450.8333333,439.2333333,453.3,493.1,437.3833333,412.0666667,489.2666667,530.1833333,528.45,481.5833333,451.9333333,471.2833333,540.8333333,612.6333333,548.0333333,560.6,551.5166667,436.7333333,620.8833333,587.55,576.2333333,597.6833333,591.7666667,605.4333333,480.4166667,2170
Duration Person SUM CE [h],131.05,134.4333333,138.05,124.8,135.35,119.25,127.0666667,148.4833333,142.85,132.3833333,111.45,134.2,133.1666667,141.9166667,146.5666667,135.0166667,124.4833333,152.8833333,149.0333333,153.5666667,171.1833333,149.1666667,137.8333333,161.6166667,161.6833333,158.5166667,152.8,142.15,151.8666667,196.7333333,199.9666667,176.9166667,185.45,169.25,144.4166667,190.35,189.5666667,164.95,185.5,193.5,179.2666667,154.2833333,2171
Duration Person SUM AY [h],7.352777778,3.194444444,5.919444444,5.333333333,6.027777778,5.355555556,5.188888889,6.008333333,5.238888889,4.977777778,3.130555556,5.880555556,5.233333333,7.652777778,5.591666667,6.063888889,5.961111111,5.719444444,6.830555556,6.069444444,5.511111111,4.972222222,7.313888889,8.05,5.738888889,4.405555556,6.666666667,5.266666667,5.194444444,4.961111111,6.522222222,6.191666667,4.683333333,7.047222222,6.038888889,6.511111111,6.391666667,6.452777778,5.65,6.566666667,5.383333333,6.138888889,2172
Duration Person SUM SB [h],48.25,52.41666667,47.33333333,57.16666667,37.5,45.83333333,31.5,54.58333333,53.5,40.91666667,40.66666667,43.91666667,41.66666667,52.75,55,33.66666667,35.91666667,40.91666667,46.25,42.5,60.75,35.33333333,34.25,50.66666667,52.91666667,54.66666667,46.83333333,47.5,44,55.91666667,62.58333333,61.16666667,57.33333333,48.08333333,43,65.91666667,63.25,66,69.08333333,56.25,59.91666667,46.08333333,2173
Duration Person SUM HF [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174
Duration Person SUM Biodiesel [h],4158.604444,4161.995833,4259.276389,4251.380278,4190.786111,3991.165,3715.594722,4143.456944,4107.3925,3906.039167,3680.094167,4557.421944,4478.638889,4550.562778,4469.736944,4187.381389,3940.5825,4810.289722,4791.7025,4877.715,4772.619722,4606.754167,4169.560833,5294.099444,5192.237778,5133.245556,5240.887222,4899.960556,4442.913611,5370.305278,5552.7525,5455.138889,5414.988611,5179.287778,4763.215,5282.626667,5263.914722,5158.033333,5187.990833,5274.381111,5167.235278,4797.239444,2175
Duration Person SUM Diesel [h],176909.3469,177246.67,177692.9517,176322.7911,175895.8797,173047.755,170272.6044,176362.1756,175202.0361,172194.2856,169443.3933,182109.6583,181586.6906,180708.7642,179706.5406,175389.42,170250.8094,185457.9994,185068.1708,184413.1522,183523.7192,178800.8775,170760.52,189746.2869,190577.2689,189079.3886,188324.2547,183732.9367,171901.7442,194097.6033,194193.8883,193407.9561,192496.4,187993.2028,173693.9036,194750.0858,194405.2208,194067.9633,193595.9561,193339.5317,190544.8669,180563.2156,2176
Duration Person SUM Gasoline [h],858798.8808,860042.3708,862845.0242,865775.4911,869260.2222,872439.7808,889677.7986,868823.7411,867922.3742,875149.3683,890900.9189,857281.8631,859033.0275,868324.7356,867604.2928,874470.4314,895968.2156,856358.7236,858373.9311,866024.6053,868455.1908,879117.0128,899516.1942,854998.2017,856034.8419,862370.1917,867809.3547,883464.7136,904918.9461,853693.4764,852255.8519,861571.2094,867678.3408,886793.8383,916620.6625,862472.2753,860008.1142,860655.5094,870260.6233,874716.2658,899732.1125,932826.1711,2177
Duration Person SUM Electricity [h],45467.67222,45644.84444,45563.00583,45194.73194,45207.39083,44957.82861,44392.65833,45058.81028,45187.765,44817.05278,43950.40306,46408.88167,46127.27806,46373.80611,46283.34389,45727.73833,44543.44417,47401.41889,47263.97667,47029.405,47405.85917,46511.78333,45179.51778,48788.97056,48850.42861,48663.88389,48659.79417,47933.17611,46412.51528,50331.65111,50609.53444,50316.10722,50294.52806,49851.13944,47464.895,50861.335,50930.65194,50946.82611,50960.33528,50894.11028,50854.73583,48484.56667,2178
Duration Person SUM Food [h],1375623.38,1375668.961,1382897.077,1347778.944,1330686.084,1278633.673,1241407.103,1343501.776,1326402.028,1285408.906,1236619.64,1414841.777,1414101.481,1373222.744,1352056.557,1292336.856,1229536.22,1446720.989,1448342.536,1405491.828,1391388.597,1322052.261,1219620.681,1509492.015,1520454.233,1472796.045,1452838.738,1363774.965,1241559.768,1599420.301,1599389.038,1537431.396,1515484.649,1425259.814,1271944.698,1579369.319,1565231.863,1561581.418,1505258.215,1492774.271,1407821.488,1277430.926,2179
Duration PersonAV [h],0.108335157,0.108280829,0.108672601,0.107706685,0.107389768,0.106013343,0.106224184,0.107794884,0.107268017,0.106611987,0.106156842,0.108780662,0.108891516,0.107929113,0.107282667,0.10613744,0.106287279,0.109316882,0.109505555,0.108271039,0.108065546,0.107031124,0.106043723,0.110790029,0.111033421,0.109718238,0.109481655,0.107992118,0.107166673,0.11348419,0.113298086,0.111410266,0.111021019,0.109610635,0.108723516,0.1129878,0.112348846,0.112437281,0.110496457,0.110287441,0.108492048,0.10655009,2180
Duration Person AV Walk [h],0.224517332,0.224477538,0.225363504,0.221604596,0.219746505,0.214429776,0.211393761,0.221376041,0.219349077,0.215770691,0.210977478,0.228995319,0.228966328,0.224080146,0.221839504,0.21691154,0.213253976,0.232420873,0.232449268,0.22762761,0.226599238,0.221518815,0.214045587,0.239915163,0.240949135,0.235562503,0.23391552,0.226490548,0.219794484,0.251590694,0.2511128,0.243608739,0.241546676,0.234040969,0.225692447,0.249917332,0.247820243,0.247662769,0.240327358,0.239524213,0.232104571,0.223052003,2181
