Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Trip Vehicle Tram,48083,47941,48060,48019,48032,47977,47983,47914,47957,47967,47842,48245,48194,47814,48238,48011,47957,48215,48133,48146,48582,48406,48092,48167,48389,48685,48167,48156,48078,48446,48396,48299,48248,48376,48089,48574,48247,48567,48354,48276,48522,48342,21
Trip Vehicle Rail,1574,1561,1579,1584,1584,1587,1575,1574,1580,1573,1576,1600,1588,1576,1573,1572,1576,1592,1576,1577,1580,1578,1577,1598,1597,1595,1593,1581,1583,1600,1609,1602,1600,1612,1587,1619,1613,1601,1598,1594,1592,1601,22
Trip Vehicle Subway,13296,13275,13239,13286,13286,13271,13242,13260,13286,13273,13250,13278,13305,13314,13297,13283,13287,13312,13302,13298,13305,13320,13250,13312,13353,13341,13295,13330,13293,13339,13333,13331,13349,13307,13299,13340,13340,13351,13349,13347,13351,13312,23
Trip Vehicle Cable Car,14988,15055,15014,14973,15087,15180,14947,14905,14986,14982,14816,15304,15152,15281,14970,15121,15062,15131,15120,15219,15217,15087,15120,15014,15027,15195,15234,14977,15199,15146,15151,15261,14973,15180,15117,15047,15276,15217,15318,15366,15302,15286,24
Trip Vehicle Ferry,17,18,14,18,18,17,14,17,20,18,20,15,13,18,16,12,12,19,16,16,22,11,16,14,19,17,15,20,14,16,17,18,21,18,17,19,17,17,18,18,19,16,25
Trip Vehicle Empty Bus,435050,435148,434835,436632,436427,439240,442811,435427,436206,439192,443087,427619,427784,429386,428362,432081,436893,420930,422578,422137,422434,425304,432879,416881,415804,417183,417540,419974,427170,411785,411975,412295,413201,415355,424766,412577,411418,413343,413396,412979,413756,420670,26
Trip Vehicle Empty Tram,6841,6983,6864,6905,6892,6947,6941,7010,6967,6957,7082,6679,6730,7110,6686,6913,6967,6709,6791,6778,6342,6518,6832,6757,6535,6239,6757,6768,6846,6478,6528,6625,6676,6548,6835,6350,6677,6357,6570,6648,6402,6582,27
Trip Vehicle Empty Rail,128,141,123,118,118,115,127,128,122,129,126,102,114,126,129,130,126,110,126,125,122,124,125,104,105,107,109,121,119,102,93,100,102,90,115,83,89,101,104,108,110,101,28
Trip Vehicle Empty Subway,1062,1083,1119,1072,1072,1087,1116,1098,1072,1085,1108,1080,1053,1044,1061,1075,1071,1046,1056,1060,1053,1038,1108,1046,1005,1017,1063,1028,1065,1019,1025,1027,1009,1051,1059,1018,1018,1007,1009,1011,1007,1046,29
Trip Vehicle Empty Cable Car,2848,2781,2822,2863,2749,2656,2889,2931,2850,2854,3020,2532,2684,2555,2866,2715,2774,2705,2716,2617,2619,2749,2716,2822,2809,2641,2602,2859,2637,2690,2685,2575,2863,2656,2719,2789,2560,2619,2518,2470,2534,2550,30
Trip Vehicle Empty Ferry,56,55,59,55,55,56,59,56,53,55,53,58,60,55,57,61,61,54,57,57,51,62,57,59,54,56,58,53,59,57,56,55,52,55,56,54,56,56,55,55,54,57,31
Trip Est Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Trip Est Subway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Trip Est Tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Trip Est Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Trip Est Car,3630216,3628348,3630051,3614113,3604516,3583778,3564143,3612609,3603223,3583627,3560905,3549154,3546643,3517936,3510192,3462753,3412320,3480993,3480306,3448459,3430537,3365524,3289873,3394191,3394926,3360562,3342587,3271042,3146421,3325411,3321349,3288122,3272215,3191617,3053935,3375973,3390921,3409780,3366975,3344411,3265342,3175402,36
Trip Est HOV3 Passenger,583624,583842,582932,583133,581870,580846,579931,583427,581650,580603,579732,578957,578981,576712,577355,573662,571571,575619,573849,572436,571655,567132,562567,569438,567938,566090,565013,560698,550178,562606,562397,560593,557886,553154,540560,564424,565789,567194,564996,563600,556539,547319,37
Trip Est Bike,100369,100052,99445,100592,100007,99617,100656,99756,99712,100859,100952,100850,99950,100230,99304,99894,99365,98484,98598,98787,99753,99155,98551,98169,98274,98863,98471,97092,97084,97106,96978,97802,98085,96646,95061,97075,97906,98224,96327,98192,96912,95942,38
Trip Est HOV2 Passenger,644308,644307,642589,644334,644931,642384,641624,645098,644887,640667,643891,641537,641167,639245,641269,636029,633597,639448,638592,636690,636453,631262,626817,632502,634822,631179,629825,626164,616051,628169,628560,627752,625238,618978,607500,631227,632489,634752,631506,629666,623169,614145,39
Trip Est Walk,430852,428815,432584,426923,430968,439067,447917,430731,435521,444363,450008,423881,427231,431941,422491,430085,444995,422571,426417,422954,425523,428810,436880,421264,417501,423484,419797,417070,428500,424112,418146,414138,410578,418303,419759,426340,418617,416279,419302,414061,410298,414886,40
Trip Est HOV2 Driver,752183,751796,752599,749326,748263,746690,742250,750441,746984,745152,742789,745600,743487,741781,738124,737399,729480,737646,736952,735322,730804,725011,716270,730405,727977,723972,723866,714505,699890,720864,721243,716257,715623,705085,684944,722824,725842,728365,722746,719900,710396,699865,41
Trip Est HOV3 Driver,540288,539747,539386,539616,537488,536194,534975,539831,537271,536025,535028,533699,533540,530576,530505,526993,523761,528152,526620,524956,523452,518250,512997,520264,519262,516363,515502,510045,498698,512496,512036,510619,507636,501313,488745,514951,516902,518465,515053,513437,505766,496293,42
Trip Est Walk-Transit,598491,600494,603045,602394,599967,592739,578570,598909,596307,589288,575729,624029,623679,626113,625317,613280,592883,641872,641422,644346,646636,636268,607994,662971,666495,668139,668026,662458,628382,678382,683228,687063,687481,682271,644319,680306,679651,677607,685326,688620,691595,666250,43
Trip Est Ride Hail,80920,81055,87611,97123,105333,130500,163412,92809,101262,126640,163043,135265,147339,156206,168954,212784,290473,199213,210244,226113,235410,290678,414718,304457,313639,330115,340320,394145,575701,379112,395467,406052,416615,469181,670953,35414,40203,42746,48973,53767,73878,104803,44
Trip Est Ride Hail-Transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Trip Est Ride Hail Pooled,67120,73519,60781,73684,78571,84720,84548,79843,83831,90596,86484,97322,85765,110523,120404,143196,142307,107440,95866,122449,131809,171395,175893,95259,91871,115266,127166,179547,201334,103947,93434,120724,137188,198510,235988,385921,364257,335931,383807,409558,499436,626632,46
Trip Est Drive-Transit,6814,6782,6743,6847,6707,6712,6759,6715,6782,6851,6643,6647,6481,6693,6839,6572,6471,6638,6822,6711,6710,6724,6334,7057,6772,6457,6773,6855,6359,6530,6615,6789,6742,6424,6144,6576,6505,6398,6520,6660,6539,6566,47
Trip Est Cable Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Trip Est Bike-Transit,8,9,8,11,9,3,2,4,7,3,1,15,12,15,13,6,4,22,23,14,20,9,1,32,41,26,27,19,9,40,53,49,38,27,5,18,37,21,32,27,14,8,49
Trip Mode Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Trip Mode Subway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Trip Mode Tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Trip Mode Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Trip Mode Car,3932335,3929496,3939185,3909393,3892039,3829015,3774670,3900181,3880784,3824799,3770057,3919460,3924224,3885754,3872690,3772711,3656003,3910055,3916926,3885150,3856087,3739689,3566443,3906744,3911643,3875719,3851940,3729426,3478650,3895498,3901344,3870809,3854595,3729984,3442317,3889964,3896013,3896636,3869841,3844786,3720022,3507961,54
Trip Mode HOV3 Passenger,575144,576177,575268,575970,573818,573094,572763,575700,574373,573520,572348,571129,571272,569161,569773,565407,565011,567403,565442,564598,563361,560099,555574,559878,559534,557063,556458,551586,542693,553433,553156,551305,548119,543654,532354,555195,557038,558416,556341,554460,547971,539303,55
Trip Mode Bike,105258,105351,104825,104387,103420,101195,100858,103142,102839,102035,101003,108233,107998,107030,105612,103409,100123,109107,109526,108590,108540,104573,99793,111989,112927,112383,110972,105783,100258,113916,114664,114528,114071,108531,99856,109999,110049,110163,107886,109120,104843,99063,56
Trip Mode HOV2 Passenger,639033,639275,636960,638710,640230,638527,638128,639982,639294,637038,640179,634906,635793,633597,635495,630973,629733,631744,631974,630699,630420,626172,622725,625403,627815,623941,622573,619345,608994,618552,618828,617804,615271,609465,599932,623483,625096,626185,623700,620818,615436,607114,57
Trip Mode Walk,432368,432529,434902,414487,413110,407076,404892,419292,420355,412698,407485,441917,440678,430995,420256,410109,405503,456994,458593,435530,434551,417825,403985,473409,471423,457093,447570,423142,407829,502588,497444,468353,459635,438761,412031,491466,480701,479673,456993,453085,430111,405999,58
Trip Mode HOV2 Driver,689549,689155,690419,687758,685256,683827,680137,688250,684199,683020,680453,682650,681236,679065,675129,675096,667224,674981,673620,673380,668792,663139,654412,666928,666436,661802,661949,652200,640129,659957,660203,655751,654324,644120,624902,661019,664359,666209,661194,658795,648142,640553,59
Trip Mode HOV3 Driver,492928,492454,492067,492864,491165,490387,489510,491453,490999,489166,487834,486840,487263,483861,483049,479797,477455,481104,480133,477383,476609,472009,467325,474643,472867,470263,469141,464850,453363,466085,465765,464872,461736,455852,445775,469737,470923,473153,469609,467588,461030,451886,60
Trip Mode Walk-Transit,547040,548315,547313,546306,543930,535645,521455,545289,542152,532738,518103,572267,573100,572516,567706,555278,530335,592662,591855,589614,589454,573794,544905,615407,620053,616553,614992,599252,561492,638220,638136,638118,635930,623079,576083,633275,632360,628884,631216,631309,628373,591936,61
