,modename,startHour,All Trips,modename,startHour,Work Trips
79,Rail,0,0.000212955634673487,,,
80,Rail,1,0.000212955634673487,,,
81,Rail,5,0.0014954122694325544,,,
82,Rail,6,0.0025452427489195046,,,
83,Rail,7,0.006755774589076851,,,
84,Rail,8,0.0043897967560704906,,,
85,Rail,9,0.001693368161458955,,,
86,Rail,10,0.0008899955926296858,,,
87,Rail,11,0.0016971804425805752,,,
88,Rail,12,0.0006581575155148752,,,
89,Rail,13,0.001173716625096785,,,
90,Rail,14,0.0013614807762422979,,,
91,Rail,15,0.0036195621598387835,,,
92,Rail,16,0.0036831173772222574,,,
93,Rail,17,0.005366843587165393,,,
94,Rail,18,0.0029012519018411565,,,
95,Rail,19,0.0015909145809099477,,,
96,Rail,20,0.0011682148972793213,,,
97,Rail,21,0.0005831099991733782,,,
98,Rail,22,0.00028582294576243915,,,
99,Rental Car,6,0.0003974468420387848,,,
100,Rental Car,7,0.0001657721119910157,,,
101,Rental Car,8,1.9163686596808545e-05,,,
102,Rental Car,9,0.0003120105823363826,,,
103,Rental Car,10,0.00028396625298547607,,,
104,Rental Car,11,0.00028694614799046743,,,
105,Rental Car,12,0.00015108302492051147,,,
106,Rental Car,14,0.00013191933832370296,,,
107,Rental Car,15,6.16666466573881e-05,,,
108,Rental Car,16,0.00013191933832370296,,,
109,Rental Car,17,0.00047405150201288565,,,
110,Rental Car,18,0.00015704506408237908,,,
111,Rental Car,19,0.00019287861336729517,,,
112,Rental Car,20,4.678332779072504e-05,,,
113,Rental Car,22,7.323258667130625e-05,,,
114,Ridehail,1,0.0003186592860464349,,,
115,Ridehail,2,0.00026955672223478354,,,
116,Ridehail,4,6.504937244585127e-05,,,
117,Ridehail,5,0.00031341489115112265,,,
118,Ridehail,6,0.00020028872202143173,,,
119,Ridehail,7,0.0007019138886860978,,,
120,Ridehail,8,0.0009603757641715435,,,
121,Ridehail,9,0.0006945802210899665,,,
122,Ridehail,10,0.00036832616009921094,,,
123,Ridehail,11,0.0008869397782120427,,,
124,Ridehail,12,0.0004039999021939232,,,
125,Ridehail,13,0.0006670030439004026,,,
126,Ridehail,14,6.504937244585127e-05,,,
127,Ridehail,15,0.000894740497666251,,,
128,Ridehail,16,0.00029230719534632603,,,
129,Ridehail,17,0.000862086419893822,,,
130,Ridehail,18,0.0012972358952499765,,,
131,Ridehail,19,0.00021792916532983292,,,
132,Ridehail,20,0.00013626803213495333,,,
133,Ridehail,21,0.001319556201323226,,,
134,Ridehail,22,0.00036123176072791225,,,
135,Ridehail,23,0.00014331079514608839,,,
136,Walk,1,0.00014429337062808728,,,
137,Walk,4,4.5871155656389506e-05,,,
138,Walk,5,0.0013772306917295774,,,
139,Walk,6,0.002366409589870431,,,
140,Walk,7,0.009937289273789379,,,
141,Walk,8,0.015534552744914994,,,
142,Walk,9,0.011734487518997135,,,
143,Walk,10,0.010904723149498224,,,
144,Walk,11,0.012898470331060315,,,
145,Walk,12,0.025302096207604152,,,
146,Walk,13,0.017187115319203645,,,
147,Walk,14,0.015689453685857748,,,
148,Walk,15,0.013803268902651496,,,
149,Walk,16,0.014411376011215147,,,
150,Walk,17,0.015294205270459786,,,
151,Walk,18,0.008028393797473115,,,
152,Walk,19,0.009165925467394065,,,
153,Walk,20,0.006599150241357111,,,
154,Walk,21,0.0025578379996066343,,,
155,Walk,22,0.0016905835890315085,,,
156,Walk,23,0.0010876139664857448,,,
