,modename,startHour,All Trips,modename,startHour,Work Trips
64,Other,12,0.0010074448319297487,,,
65,Other,13,0.0002791320011964619,,,
66,Other,14,2.6979011932545267e-05,,,
67,Other,15,0.00015625648271589294,,,
68,Other,16,0.0007420860575788353,,,
69,Other,17,0.00043387177338087123,,,
70,Other,18,0.0001880211580843474,,,
71,Other,19,0.00010617148621287741,,,
72,Rail,7,0.00019389392402119148,,,
73,Rail,9,8.025555223828738e-05,,,
74,Rail,10,4.5138963131168264e-05,,,
75,Rail,15,4.495285615894131e-05,,,
76,Rail,17,6.039887174875926e-05,,,
77,Rail,18,8.85421961134909e-05,,,
78,Rail,19,4.5138963131168264e-05,,,
79,Rental Car,1,0.0001150100648700428,,,
80,Rental Car,6,3.093768863643142e-05,,,
81,Rental Car,7,0.00029378602384504116,,,
82,Rental Car,8,0.00017033842285973453,,,
83,Rental Car,9,1.2676757581382987e-05,,,
84,Rental Car,10,6.392350147688308e-05,,,
85,Rental Car,11,0.000557224468937965,,,
86,Rental Car,12,0.00034032868483132954,,,
87,Rental Car,13,0.00022555456116226871,,,
88,Rental Car,14,0.00030422563460615667,,,
89,Rental Car,15,0.00013015375854037004,,,
90,Rental Car,16,0.0003428746125654492,,,
91,Rental Car,17,0.0007908296516403964,,,
92,Rental Car,18,0.00026857620191746167,,,
93,Rental Car,19,0.0005023802192290583,,,
94,Rental Car,20,0.0006773708672951304,,,
95,Rental Car,21,5.543703791766805e-05,,,
96,Rental Car,23,0.0001150100648700428,,,
97,Ridehail,1,0.0002060558830548112,,,
98,Ridehail,4,0.0001483950716132048,,,
99,Ridehail,7,0.000209553321349806,,,
100,Ridehail,8,8.981135225089391e-05,,,
101,Ridehail,9,0.00020144951465170849,,,
102,Ridehail,10,8.464735610176073e-05,,,
103,Ridehail,11,7.190735742602889e-05,,,
104,Ridehail,12,8.451547932990304e-05,,,
105,Ridehail,13,0.00010896141391020933,,,
106,Ridehail,15,0.0005693012672352372,,,
107,Ridehail,16,0.0001471961783696703,,,
108,Ridehail,18,0.00024692267799988053,,,
109,Ridehail,19,0.0001042154293111552,,,
110,Ridehail,20,0.00011723435279519521,,,
111,Ridehail,21,0.00017896694676568483,,,
112,Ridehail,22,0.0003367825432315147,,,
113,Ridehail,23,0.0004954857609567853,,,
114,Walk,0,0.00036600858767397705,,,
115,Walk,1,9.459768450246108e-05,,,
116,Walk,4,2.785384201411279e-05,,,
117,Walk,5,0.0007239666796428366,,,
118,Walk,6,0.002343818933712042,,,
119,Walk,7,0.007652097505852318,,,
120,Walk,8,0.005466582811910138,,,
121,Walk,9,0.004155810220252903,,,
122,Walk,10,0.006553456149675095,,,
123,Walk,11,0.006200235948821217,,,
124,Walk,12,0.007321748671859142,,,
125,Walk,13,0.005363271282357209,,,
126,Walk,14,0.0034503496382551515,,,
127,Walk,15,0.005821719219034537,,,
128,Walk,16,0.007655437326792349,,,
129,Walk,17,0.008247860694680188,,,
130,Walk,18,0.006340388729986892,,,
131,Walk,19,0.004753429362118424,,,
132,Walk,20,0.004163834804565511,,,
133,Walk,21,0.002330792801791773,,,
134,Walk,22,0.0004076591670480502,,,
135,Walk,23,0.00021300998325034557,,,
