,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,geometry
414,1433,-0.11068647161941225,-0.3011485318916023,-0.0665854177758396,-0.007440678608425094,-0.01045429689796118,-741.3271366410627,"POLYGON ((-2192000 80000, -2192000 84000, -2188000 84000, -2188000 80000, -2192000 80000))"
415,1434,-0.44183358157067865,-0.2907730004818099,-0.040313780267775934,-0.004902752060493801,-0.008797360929740705,-484.7488831008927,"POLYGON ((-2192000 84000, -2192000 88000, -2188000 88000, -2188000 84000, -2192000 84000))"
416,1435,-0.0014006985266957067,-0.0013062667266114103,-0.00042500868508319953,-3.639250271660023e-05,-0.000237185441453399,-3.695841384508242,"POLYGON ((-2192000 88000, -2192000 92000, -2188000 92000, -2188000 88000, -2192000 88000))"
417,1437,-0.2991411138894833,-0.7759079672783287,-0.2096465886442509,-0.02624738076629818,-0.022408394335439397,-2618.4913625611516,"POLYGON ((-2196000 96000, -2196000 108000, -2184000 108000, -2184000 96000, -2196000 96000))"
418,1438,-0.10252408219231468,-0.11543456495402427,-0.009096302020782598,-0.0011197237665305018,-0.0016789751509114006,-109.80373592054184,"POLYGON ((-2192000 108000, -2192000 112000, -2188000 112000, -2188000 108000, -2192000 108000))"
419,1439,0.05166381699403133,0.01728378862914326,-8.71191207885147e-06,3.0261390409097588e-05,0.0002832931216501938,2.425872201142738,"POLYGON ((-2192000 112000, -2192000 116000, -2188000 116000, -2188000 112000, -2192000 112000))"
420,1440,0.017458727282645803,0.05431326243285517,0.010226551793195399,0.0012630079199564027,0.0012347016301533995,125.89918590432535,"POLYGON ((-2192000 116000, -2192000 120000, -2188000 120000, -2188000 116000, -2192000 116000))"
421,1441,-0.17311893444364657,0.10428935552610774,0.02524349803185677,0.0029159521549578238,0.007865851726245376,291.2338215550517,"POLYGON ((-2196000 120000, -2196000 132000, -2184000 132000, -2184000 120000, -2196000 120000))"
422,1442,0.29330049156812976,0.17707228660359275,0.012673398427993504,0.0016955203493129005,0.004501635664626802,166.0373323708111,"POLYGON ((-2192000 132000, -2192000 136000, -2188000 136000, -2188000 132000, -2192000 132000))"
423,1443,-0.015107599817304695,-0.10762110521144042,-0.014720579660972122,-0.0018549510290324991,-0.0021820853830673004,-184.52662751521711,"POLYGON ((-2192000 136000, -2192000 140000, -2188000 140000, -2188000 136000, -2192000 136000))"
424,1444,-0.9182570498043265,-0.26064527530186865,-0.002797374633617067,-0.0011048970778634037,-0.0019165996264079166,-104.03987843769573,"POLYGON ((-2192000 140000, -2192000 144000, -2188000 144000, -2188000 140000, -2192000 140000))"
425,1445,0.30450162294975414,0.4207333165274143,0.08399719172651121,0.008681018151178277,0.015690587053177274,863.7724499848482,"POLYGON ((-2196000 144000, -2196000 156000, -2184000 156000, -2184000 144000, -2196000 144000))"
426,1446,-0.0882763612522427,-0.08123827440650855,-0.010594924522232707,-0.0012593328824523006,-0.001864564697270303,-124.67392080972422,"POLYGON ((-2196000 156000, -2196000 168000, -2184000 168000, -2184000 156000, -2196000 156000))"
427,1447,0.006182811093763618,0.028011744739753874,-0.008428270930505688,-0.0008358234892237998,-0.0012396834719769004,-83.71182809248694,"POLYGON ((-2190000 28000, -2190000 29000, -2189000 29000, -2189000 28000, -2190000 28000))"
428,1448,-0.005067557024601044,-0.12938024707487994,-0.012450590049809196,-0.0014749564758958986,-0.001700448605423996,-146.42609167172418,"POLYGON ((-2190000 29000, -2190000 30000, -2189000 30000, -2189000 29000, -2190000 29000))"
429,1449,-0.08464600639018349,-0.052780003799624,-0.0074469332387790965,-0.0007959733845561007,-0.0019227503153238026,-78.519406609631,"POLYGON ((-2190000 30000, -2190000 31000, -2189000 31000, -2189000 30000, -2190000 30000))"
430,1450,-0.03217253046515478,0.05031633654877088,0.00547352960218489,0.0005287917100099994,0.0011815896813560031,53.04699812796866,"POLYGON ((-2190000 31000, -2190000 32000, -2189000 32000, -2189000 31000, -2190000 31000))"
431,1451,-0.07417726406928793,-0.14652523645228532,-0.011751962651428582,-0.0013861067552696019,-0.0032066389185103905,-136.90557085383625,"POLYGON ((-2190000 32000, -2190000 33000, -2189000 33000, -2189000 32000, -2190000 32000))"
432,1452,-0.03763836637435958,-0.011836058123321447,4.307379323686966e-05,-8.794279183040044e-05,-0.000684297335921305,-8.354841827736891,"POLYGON ((-2190000 33000, -2190000 34000, -2189000 34000, -2189000 33000, -2190000 33000))"
433,1453,1.2069478960175566,0.8023300064818102,0.06869397727136839,0.012421442878028932,0.0223685816052841,1228.9473029540168,"POLYGON ((-2190000 34000, -2190000 36000, -2188000 36000, -2188000 34000, -2190000 34000))"
434,1454,-0.06337913102726134,-0.0027459587112588224,0.016845281717911664,0.0012858191862296642,0.002102192850261808,127.88458291909774,"POLYGON ((-2190000 36000, -2190000 38000, -2188000 38000, -2188000 36000, -2190000 36000))"
435,1455,0.009649791201378655,-0.03590924895009495,-0.016793579521157287,-0.0017815825478983,-0.0023370270630949028,-178.38296443770787,"POLYGON ((-2190000 38000, -2190000 40000, -2188000 40000, -2188000 38000, -2190000 38000))"
436,1459,-0.3607462747279221,0.04128848997691992,0.06849612002311944,-0.00015951320930549656,-0.009348451450429798,-14.18071517143835,"POLYGON ((-2190000 62000, -2190000 64000, -2188000 64000, -2188000 62000, -2190000 62000))"
437,1460,-2.651711821219055,0.27593168747262986,0.42775294153156773,-0.0006159601333698972,-0.08329583631966497,-47.14804477641155,"POLYGON ((-2190000 64000, -2190000 66000, -2188000 66000, -2188000 64000, -2190000 64000))"
438,1461,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-2190000 66000, -2190000 68000, -2188000 68000, -2188000 66000, -2190000 66000))"
439,1462,-0.2519646724129756,-0.20034007610787485,-0.008626835432613902,-0.0011358585106074001,-0.0030968277834066034,-109.97551931813973,"POLYGON ((-2189000 28000, -2189000 29000, -2188000 29000, -2188000 28000, -2189000 28000))"
440,1463,0.624931479648537,0.38650083380659517,0.03050716047597829,0.004018022531523301,0.007213652823917394,393.7802830113028,"POLYGON ((-2189000 29000, -2189000 30000, -2188000 30000, -2188000 29000, -2189000 29000))"
441,1464,0.049711614161642714,-0.19281560314096824,-0.06916876914882941,-0.007164196704759797,-0.013965589158449407,-714.9754228528918,"POLYGON ((-2189000 30000, -2189000 31000, -2188000 31000, -2188000 30000, -2189000 30000))"
442,1465,-1.0506833173717736,-0.8787665907505335,-0.11925826916276194,-0.014134425703192316,-0.01943877053742521,-1400.055366604298,"POLYGON ((-2189000 31000, -2189000 32000, -2188000 32000, -2188000 31000, -2189000 31000))"
443,1466,0.010820270433195667,-0.0682831918776845,-0.012574341696972802,-0.0013030902756142049,0.0032693590892559077,-130.92914319520787,"POLYGON ((-2189000 32000, -2189000 33000, -2188000 33000, -2188000 32000, -2189000 32000))"
444,1467,0.020408815039155037,0.022619528777377607,0.004522516660317999,0.001277414195792706,0.0012744513894273057,127.91618555328932,"POLYGON ((-2189000 33000, -2189000 34000, -2188000 34000, -2188000 33000, -2189000 33000))"
