1. Record Type,2. Sample Number,3. Phone,4. Month,5. Day,6. Year,7. Day of Week,8. Advance Letter,9. Address,10. City,11. State,12. Zip Code,13. HH County,14. HH Study Area,15. HH Zone,16. Longitude,17. Latitude,18. Number Persons,19. Number Employed,20. Vehicles Available,21. Vehicles Owned / Leased ,22. Bikes,23. Residence,24. Other Residence,25. Tenure,26. Previous Residence,27. Previous Zip Code,28. HH Factors ,29. Other Factors,30. Income,31. Day Visitors,32. Overnight Visitors,33. Delivery Vehicle,34. Number of Delivery Drivers,35. HH Vehicle Use by Non HH Member,36. GPS House,37. Total HH Trips
1,8935,,11,30,2017,4,1,,Austin,TX,78731,5,AU,,-97.779,30.352,2,2,4,4,0,1,,5,,,6,,25,0,0,,,2,2,7
1,8958,,1,18,2018,4,1,,Austin,TX,78745,5,AU,,-97.834,30.195,4,2,2,2,2,3,,5,,,1;6,,22,1,0,,,1,2,16
1,9346,,2,7,2018,3,1,,Austin,TX,78739,5,AU,,-97.904,30.196,2,0,1,1,0,1,,5,,,96,0,17,0,0,,,2,2,10
1,9804,,2,5,2018,1,1,,AUSTIN,TX,78745,5,AU,,-97.832,30.201,3,0,1,1,0,3,,5,,,1;5;6,,9,0,0,,,2,2,9
1,9867,,11,30,2017,4,1,,Austin,TX,78726,5,AU,,-97.845,30.415,3,2,2,2,2,4,,5,,,1,,23,0,0,,,2,2,6
1,9931,,11,14,2017,2,1,,AUSTIN,TX,78751,5,AU,,-97.713,30.313,3,3,2,2,0,1,,5,,,1;5,,14,0,0,,,2,1,13
1,9935,,12,19,2017,2,1,,Austin,TX,78753,5,AU,,-97.664,30.399,2,1,2,2,1,4,,2,1,78731,1,,14,0,0,,,2,2,7
1,9936,,9,26,2018,3,1,,Austin,TX,78753,5,AU,,-97.678,30.357,3,1,2,2,0,3,,5,,,5;6;96,MORE ROOM,6,1,0,,,1,2,8
1,10058,,12,7,2017,4,1,,Austin,TX,78701,5,AU,,-97.739,30.260,1,1,2,2,1,2,,2,1,78701,1,,22,0,0,,,2,1,12
1,10168,,1,30,2018,2,1,,AUSTIN,TX,78702,5,AU,,-97.711,30.278,2,2,2,2,2,3,,3,1,78705,1;3;7,,16,0,0,,,2,2,6
1,10179,,8,30,2018,4,1,,Austin,TX,78702,5,AU,,-97.711,30.278,3,3,3,3,3,2,,3,1,78701,7,,22,0,0,,,1,2,22
1,10186,,10,18,2017,3,1,,Austin,Texas,78702,5,AU,,-97.719,30.261,1,1,1,1,0,2,,2,1,78754,6,,21,0,0,,,2,1,5
1,10203,,11,30,2017,4,1,,Austin,TX,78702,5,AU,,-97.714,30.262,2,2,3,3,2,1,,1,1,78702,1;3;6,,25,0,0,,,2,2,11
1,10226,,10,18,2017,3,1,,Austin,Texas,78702,5,AU,,-97.713,30.279,3,2,2,2,3,1,,5,,,1;6,,22,0,0,,,2,2,19
1,10245,,12,12,2017,2,1,,Austin,TX,78702,5,AU,,-97.712,30.280,2,1,2,2,0,1,,5,,,3,,14,0,0,,,2,1,12
1,10268,,10,18,2017,3,1,,Austin,Texas,78702,5,AU,,-97.698,30.268,2,0,2,2,0,1,,5,,,6,,22,0,0,,,2,1,20
1,10280,,12,19,2017,2,1,,AUSTIN,TX,78702,5,AU,,-97.711,30.279,3,2,2,2,3,1,,2,1,78722,1;3;4;6;7;8;96,0,24,1,0,,,2,2,3
1,10338,,10,18,2017,3,1,,Austin,Texas,78702,5,AU,,-97.725,30.261,1,1,1,1,1,4,,1,2,99998,96,0,17,0,0,,,2,1,4
1,10366,,11,1,2017,3,1,,AUSTIN,TX,78703,5,AU,,-97.754,30.267,1,1,1,1,0,4,,2,2,99998,6,,23,0,0,,,2,2,6
1,10450,,10,18,2017,3,1,,Austin,Texas,78703,5,AU,,-97.757,30.288,2,1,3,3,4,1,,5,,,6;8,,25,6,0,,,2,1,7
1,10456,,10,18,2017,3,1,,Austin,Texas,78703,5,AU,,-97.766,30.309,2,0,2,2,1,1,,1,1,78703,6,,22,0,0,,,2,1,16
1,10468,,12,19,2017,2,1,,AUSTIN,TX,78703,5,AU,,-97.756,30.297,4,2,3,3,4,1,,5,,,6,,25,0,0,,,1,2,17
