,lever_position_price,incRank,Potential_INEXUS_in_dollar_2023,Realized_INEXUS_in_dollar_2023,incomeInThousands,potential_in_dollar_2023_relative_to_baseline,realized_in_dollar_2023_relative_to_baseline
37,0.125,16,-3.5199788641668013,-7.505239799847797,168.17532618353152,0.9281062449216035,39.225307811410474
38,0.125,17,-3.6400261139340597,-7.67081151140618,191.52689545900398,0.8658752364183253,33.495819749338494
39,0.125,18,-3.675115268415066,-7.703823283415256,225.0198945698974,0.9364808463262881,39.35752276731022
40,0.125,19,-3.634519127168605,-7.696064542703121,298.34061207188495,0.8145597719334211,31.787587295500288
41,0.125,20,-3.42114009208335,-7.430957808182757,485.7231736489644,0.8393369412178342,28.054048524613435
42,0.25,0,-2.0104025948572746,-4.6072125322372806,6.766990402923989,0.5335920275221917,9.78942487130499
43,0.25,1,-2.2026414234997023,-4.720979739038546,17.575016271647005,0.46555110507378417,11.191495295676644
44,0.25,2,-2.2876307811183274,-4.767756596530887,25.735936431822278,0.45750434566173026,9.833370512052568
45,0.25,3,-2.6438021673504286,-5.716427814549626,33.454651379497456,0.6150128123918307,15.426366923222485
46,0.25,4,-2.738054986622951,-5.9408569789414365,41.43510256823209,0.6413579788161746,19.406691944343464
47,0.25,5,-2.825200917358357,-5.969152313676816,49.07845884084123,0.6611111414070174,24.53752618047707
48,0.25,6,-2.785764219732439,-5.941312264257107,56.88568396869532,0.6723397723504603,17.610756375978394
49,0.25,7,-3.0724842904879024,-6.573091202084013,64.6316654378821,0.8385985730343626,23.139143416683968
50,0.25,8,-3.2443059396347786,-6.732491090141478,72.59032415035222,0.6887382814163313,27.138507921961075
51,0.25,9,-3.2275170326326537,-6.71949304273101,81.47005501681556,0.7872950248699826,26.009105771137197
52,0.25,10,-3.227113007891759,-6.732964494552574,91.01759516999249,0.7830910683567673,30.227312369145558
53,0.25,11,-3.349545847811289,-7.061369379965309,100.55083640732701,0.7921003309078207,25.962368071318505
54,0.25,12,-3.4507677484734067,-7.45877630852834,110.6662111100947,0.828083484028095,31.42332793771412
55,0.25,13,-3.4773110318949287,-7.439292798354558,121.98063532724713,0.7901716629455653,28.542597272855932
56,0.25,14,-3.531573183900782,-7.479701442627414,135.14634430923408,0.7572851467676708,27.461031049549494
57,0.25,15,-3.597249941358001,-7.518524242408177,150.4383155791245,0.8477611314338772,28.076687947541455
58,0.25,16,-3.583744879437209,-7.477154485363276,168.14883199821736,0.8328070785405655,34.65764838773443
59,0.25,17,-3.6597762513101117,-7.5729249866919925,191.52610346014615,0.8562564855476341,31.964073049711676
60,0.25,18,-3.743015753211403,-7.654846484191676,225.0473050315905,0.9124090310978186,39.47776344138394
61,0.25,19,-3.646592571512614,-7.601410083774556,298.3912663364557,0.8044829712919416,33.07870253395525
62,0.25,20,-3.5192504734792642,-7.37711343787336,485.6073280855124,0.7574328624112294,25.91554616595509
63,0.5,0,-2.0914427247296654,-4.542796204649674,6.759096376646362,0.4325890597080617,9.33948515940283
64,0.5,1,-2.289462230808606,-4.641076947947027,17.57000953168103,0.42389831305783604,13.619554988617075
65,0.5,2,-2.4064238750855327,-4.754087632796316,25.73296395737236,0.37646055780321935,9.585048577436265
66,0.5,3,-2.727734578480782,-5.650028295766551,33.462836712436896,0.5677508269663056,17.778286554001888
67,0.5,4,-2.8471599181815286,-5.845246650179452,41.4315440181791,0.586149378952343,17.550523472393092
68,0.5,5,-2.8939157382836997,-5.8773540509901805,49.0817509153599,0.590227160535885,24.1555672922752
69,0.5,6,-2.8952162146180593,-5.886380805994479,56.888229704169675,0.5957479217803238,18.55369701416772
70,0.5,7,-3.2129331362928544,-6.536840805274928,64.64140635394746,0.6740703029921307,24.309813806147336
71,0.5,8,-3.294984357660023,-6.614298884482248,72.57474518512237,0.6404498438932552,31.1250674064797
72,0.5,9,-3.3220659517325513,-6.65641192761287,81.46241992046649,0.6640703447343551,26.923918927630698
73,0.5,10,-3.3463556183404193,-6.701165019435329,91.02045565938138,0.6957921638698693,28.21091327408338
74,0.5,11,-3.4035349346337234,-6.953187821569141,100.53982967694644,0.6865956333813179,28.273595678543924
75,0.5,12,-3.5563333716357337,-7.402332535245415,110.67308015801636,0.7394811747646028,34.12377194882861
76,0.5,13,-3.5631299501542495,-7.361010137538609,121.974733285724,0.7640207321162958,32.201477130083596
77,0.5,14,-3.578945761041116,-7.3510799946329985,135.12930446603673,0.750401784680631,28.55689745381132
78,0.5,15,-3.69439619582434,-7.452607576462971,150.44764933542695,0.7560057615126159,28.40871633207001
79,0.5,16,-3.67597101849511,-7.391840370041188,168.16576213021688,0.7916999909819167,34.22356597225696
80,0.5,17,-3.744841287762759,-7.539421682721507,191.51671419252116,0.7763426073196805,30.122450960670577
81,0.5,18,-3.795076024188574,-7.575255330114873,225.05865070163696,0.9213478412337361,40.14716083492893
82,0.5,19,-3.760721797246451,-7.5388127484371195,298.2438596944482,0.7037894341288757,32.49473005930464
83,0.5,20,-3.600360166683998,-7.3276079688405265,485.8218138505296,0.6373112552314724,26.22722873485135
84,1.0,0,-2.237108582144103,-4.518704139115112,6.772493446038325,0.0,0.0
85,1.0,1,-2.4058778000311936,-4.620713740742365,17.57234529325529,0.0,0.0
86,1.0,2,-2.5148617704398557,-4.717916131657572,25.740686952463783,0.0,0.0
87,1.0,3,-2.8481140197684045,-5.59081817271352,33.459947726684945,0.0,0.0
88,1.0,4,-2.9322624863268207,-5.759925445407426,41.4299819469933,0.0,0.0
89,1.0,5,-3.0167642708979683,-5.8038062313301495,49.092551651305676,0.0,0.0
90,1.0,6,-3.000761305786162,-5.8270631406268825,56.88491728132639,0.0,0.0
91,1.0,7,-3.316275570537401,-6.430124657124174,64.63434569475157,0.0,0.0
92,1.0,8,-3.4011392636168614,-6.5429077325549265,72.58380227152107,0.0,0.0
93,1.0,9,-3.4231539977904966,-6.583867392611084,81.46592838787929,0.0,0.0
94,1.0,10,-3.4209502697300986,-6.594315391075693,91.01643531588094,0.0,0.0
95,1.0,11,-3.5402301239036005,-6.925051334696976,100.55651739751896,0.0,0.0
96,1.0,12,-3.683238834697477,-7.359875325285047,110.64975531564667,0.0,0.0
97,1.0,13,-3.6373068585451054,-7.2388053468268385,121.978866508244,0.0,0.0
98,1.0,14,-3.6794797259822043,-7.291293006388509,135.12325652829855,0.0,0.0
99,1.0,15,-3.7880809236857447,-7.369318783567837,150.4466503632175,0.0,0.0
100,1.0,16,-3.7649636002392772,-7.325513942856694,168.14434811839885,0.0,0.0
101,1.0,17,-3.8360867131776097,-7.44361247294018,191.52070946042969,0.0,0.0
102,1.0,18,-3.9282980696393768,-7.506394657961337,225.09636242655665,0.0,0.0
103,1.0,19,-3.8330593895519365,-7.431508478086813,298.3328040804919,0.0,0.0
104,1.0,20,-3.6865483565110106,-7.240975313004867,486.0102215508819,0.0,0.0
105,1.75,0,-2.3022790500617636,-4.481884379800806,6.77477686768481,0.2263979411458583,8.316998569646445
106,1.75,1,-2.4417854502837475,-4.5681293571779,17.572419872035322,0.2555393049124221,13.563361631832674
107,1.75,2,-2.535418988550233,-4.672015563566759,25.730492323807308,0.253542041737315,9.262179016647204
108,1.75,3,-2.916105457769486,-5.585552762585393,33.467201710355084,0.36862048647042317,14.753244504952143
109,1.75,4,-3.044358789401733,-5.7890375737983115,41.429359488,0.3965876542392638,19.031631106802003
110,1.75,5,-3.058210376323301,-5.77387737996245,49.08173593197974,0.4295435420292528,21.28364369319397
111,1.75,6,-3.037150775495862,-5.7630810489896325,56.88754403012138,0.4375832992657308,18.968408432021924
112,1.75,7,-3.372790470202236,-6.413779310148743,64.65766854767858,0.5066259365320829,23.867132896379104
113,1.75,8,-3.480782880470895,-6.533025843239653,72.5822785660625,0.44290205571025315,26.608557586664656
114,1.75,9,-3.4716789764243488,-6.561141582249116,81.46150030238113,0.543078777935122,20.726260408102036
115,1.75,10,-3.522146342513528,-6.5980930031541885,91.01984643536653,0.49928825323615195,26.007706437979703
116,1.75,11,-3.6091102482062007,-6.892536930655275,100.54740663930745,0.5410572696364514,23.27640821836971
117,1.75,12,-3.778419758006745,-7.346859462009483,110.66498942701229,0.5135332938453975,28.732873019566394
118,1.75,13,-3.761825450392489,-7.278012342438234,121.97279627838992,0.5918168981863573,30.467364934697237
119,1.75,14,-3.7665624134029185,-7.27398900954754,135.1231150762894,0.5900492172598875,23.17000860068559
120,1.75,15,-3.84539824975251,-7.347502190808216,150.4512710451962,0.6140035341204446,35.63754658777688
121,1.75,16,-3.830365873459373,-7.320841206635321,168.16998344392908,0.6947516865531879,34.329391333032795
122,1.75,17,-3.951196780021075,-7.446076916059958,191.51656635919815,0.6213693774771012,34.14475511597076
123,1.75,18,-3.946393972496589,-7.474398338905541,225.06013000067844,0.7173288123089276,34.897671570197026
124,1.75,19,-3.9098747405401473,-7.441154388967882,298.3865649063679,0.6571440680664252,41.83488533411076
125,1.75,20,-3.7744557838796693,-7.250543971656214,485.8595234991292,0.49338639412369156,28.209754665526603
126,3.0,0,-2.297652487033955,-4.476387959829007,6.7742933012903785,0.2525615272570023,11.664373331456131
127,3.0,1,-2.448933487092726,-4.592916658570039,17.5652610992638,0.2476292804873919,11.94116325932809
128,3.0,2,-2.570890202864318,-4.6860281790149925,25.729977122451576,0.20519515238699743,10.463018031948511
129,3.0,3,-2.9578238961729784,-5.59872285258039,33.45836334162786,0.3172467580706814,15.764006316411638
130,3.0,4,-3.0145271871209087,-5.766069067216684,41.43455813482547,0.3771850512606676,17.144835356393724
131,3.0,5,-3.073715517033713,-5.7843909476692525,49.08109400798935,0.414311140398942,21.62010461741552
132,3.0,6,-3.072600777953953,-5.811355190139538,56.88382944584757,0.40887027670038933,15.426722343152996
