,lever_position,incRank,Realized_INEXUS,incomeInThousands,lever_position_fleetsize,lever_position_price,logsum_relative_to_baseline,logsum_trip_Potential_INEXUS,realized_relative_to_baseline
63,0.5,0,-1.2728317685385737,6.7507422774841555,1,0.5,0.019597117510636194,-0.6242059313370611,-0.03194408057943217
64,0.5,1,-1.2918795411211825,17.439822612106777,1,0.5,0.025569564719500237,-0.6608825761480605,-0.02210989426494625
65,0.5,2,-1.307188420311345,25.61033008387213,1,0.5,0.011646776478295063,-0.6699514197151142,-0.01879821996032459
66,0.5,3,-1.2857845183693577,33.39613994132029,1,0.5,0.023012911622735333,-0.5857166589226335,-0.050368445389441775
67,0.5,4,-1.2449466846679054,41.00603506177501,1,0.5,0.017070709637197645,-0.5589458439513713,-0.03247132381911342
68,0.5,5,-1.2540238698868482,48.64265547312248,1,0.5,0.019761781071077067,-0.5858558685790222,-0.05532159504409582
69,0.5,6,-1.2444863749437909,56.676043576288045,1,0.5,0.018434239171830662,-0.570360937108216,-0.04265013423531244
70,0.5,7,-1.266244920852826,64.50175347012375,1,0.5,0.009850309714118781,-0.5590001020263461,-0.06655911265720182
71,0.5,8,-1.2832133214956642,72.58764946355724,1,0.5,0.01124469362244884,-0.5703214683046732,-0.06951856454009797
72,0.5,9,-1.2335278960594274,81.4677643049494,1,0.5,0.012347615632581828,-0.5611138834085181,-0.03277112443030419
73,0.5,10,-1.2491238053532239,91.25086461668639,1,0.5,0.011104966233034582,-0.5671749684605528,-0.02964251145976277
74,0.5,11,-1.2290539459971133,100.85082149364216,1,0.5,0.00123606706389722,-0.5502021432869815,-0.05704794714009521
75,0.5,12,-1.2098080059960614,110.65716363514906,1,0.5,0.008040188931371232,-0.5221735430350822,-0.05611499191641062
76,0.5,13,-1.2190797764457417,122.0250262697354,1,0.5,-0.005584140360451052,-0.536910568890727,-0.07414053196232921
77,0.5,14,-1.2520736334743081,135.24561778697,1,0.5,0.004703726315041026,-0.5497450998983004,-0.06974936712383739
78,0.5,15,-1.2612841894827769,150.62167802560927,1,0.5,0.005999758385258651,-0.5626916559465899,-0.048727834077516886
79,0.5,16,-1.2651307179138078,168.28703509577224,1,0.5,0.004478396556206348,-0.5788585708246224,-0.048313343964172424
80,0.5,17,-1.2426167809775825,191.51104390683528,1,0.5,0.004271914225458473,-0.5741557095634049,-0.02798675827010889
81,0.5,18,-1.2534431847956025,225.89992763268273,1,0.5,0.013843943945085983,-0.5795383451566056,-0.019733192473525334
82,0.5,19,-1.272176137192469,300.5785754302939,1,0.5,-0.004818376410680282,-0.5706968583667512,-0.05801033109788571
83,0.5,20,-1.2692633211848061,486.071176425278,1,0.5,0.00022919953189662394,-0.5807575288590625,-0.05570050745828728
84,1.0,0,-1.2569083989058358,6.757130550696538,1,1.0,0.0,-0.6474669338143334,0.0
85,1.0,1,-1.2762081641432252,17.438600243183334,1,1.0,0.0,-0.6855441974095655,0.0
86,1.0,2,-1.2913602194003508,25.612921804270318,1,1.0,0.0,-0.6842774869277976,0.0
87,1.0,3,-1.2400371163807498,33.40327287822698,1,1.0,0.0,-0.6081455296355541,0.0
88,1.0,4,-1.21222295112906,41.00322787215724,1,1.0,0.0,-0.5781845877755505,0.0
89,1.0,5,-1.1939592168072304,48.64440446689364,1,1.0,0.0,-0.604481321738077,0.0
90,1.0,6,-1.1956468695745812,56.67773199358022,1,1.0,0.0,-0.5899879305351811,0.0
91,1.0,7,-1.1986755200669343,64.4973641199897,1,1.0,0.0,-0.5702588535432058,0.0
92,1.0,8,-1.2087585125587221,72.58989305222075,1,1.0,0.0,-0.578523209905479,0.0
93,1.0,9,-1.19563262399118,81.47053246488906,1,1.0,0.0,-0.5718199054371507,0.0
94,1.0,10,-1.219701327998617,91.25555144282048,1,1.0,0.0,-0.5804866654250946,0.0
95,1.0,11,-1.1654935216117168,100.85382011892963,1,1.0,0.0,-0.5528828874180298,0.0
