,0:,10,11,12,13,14,15,16,17,18,19,20,21,22,23,4:,5:,6:,7:,8:,9:,1:,2:,3:
171 Oak Hill Flyer,,,,18.843506506587662,14.779165418611734,,12.786665129470197,12.625211290280468,13.492082734753016,16.673103573068214,,,,,,,,15.914989959645728,15.04652427302619,14.835328377733335,,,,
18 Martin Luther King,77.31195887690497,16.655308900776074,16.785995660046577,16.840059117158333,16.830837122758993,15.923802688902871,15.429703938753796,14.196707129040751,14.246109035801537,16.621320750328625,17.114329720323298,17.79966123432383,17.83540838110617,17.784903085904865,17.711343428770167,16.99789654969578,16.03743748056466,17.265036670461974,16.41248445572402,16.415094230236924,16.563898100950002,,,
19 Bull Creek,,14.720168388061115,14.7279586282892,14.738732035816497,14.714893433911188,14.336707140272116,13.771133167165237,13.273761296868235,13.039830315960332,13.995313424268744,15.653139538622638,15.659215453079982,15.649391707765764,15.78257410752044,19.53040111396735,12.816259640739466,11.93528706677062,15.45139728916991,14.817447147164106,14.940517583681203,14.728850985026533,,,
2 Rosewood,12.658301576148991,10.708913252236465,10.705490447834,10.705490447834,10.653181883831492,10.105920387520623,9.756422145721057,9.303308343770173,9.59538989873349,10.288943288014636,11.661426478873425,11.707706574865268,11.707706574865268,11.707706574865268,11.715747582128225,,11.463796021222242,10.938886804668021,10.19049735622235,10.295952941251759,10.780915573620042,,,
20 Manor Rd/Riverside,17.9802800625571,14.742516831649336,14.677344667698645,14.690800622365375,14.63017171350502,14.193244942814797,13.627580840283178,13.438252899202162,12.7719158324908,13.597760930906617,14.885652998678628,15.520677441520881,15.484332474184791,15.547666396956895,16.61168229952724,15.659420756701143,13.452561563675621,14.850257299159814,14.256272001334414,14.16586715749433,14.659855882560668,,,
201 Southpark Meadows,,17.693349188445612,17.693349188445612,17.693349188445612,17.693349188445612,16.832728484000476,16.832728484000476,16.832728484000476,16.832728484000476,16.832728484000476,17.977642738420144,17.936093308409042,17.936093308409042,,,,,17.509043467732635,16.71317785556297,16.968198433187865,17.35409618040757,,,
214 Northwest Feeder,,27.487356037300234,28.42283043448572,23.47584203651564,23.77200805924983,25.48220160062885,26.11770095940885,25.652604801810543,25.50785979122729,28.59773233810527,27.17505506358966,27.80369586239888,23.345628010098743,,,,25.138685363911875,26.288525813764235,26.825187396144713,27.487356037300234,27.487356037300234,,,
217 MONTOPOLIS FEEDER,13.765062562170652,19.41403249496778,19.41403249496778,19.41403249496778,19.41403249496778,17.105007942211994,11.313891615597102,11.228327499064754,12.253992030229323,15.696495239008595,18.88630730432251,20.671961166347984,17.79018219334408,17.663094333884544,17.576734855568894,20.023663070847316,17.211809677751514,15.526863979922298,14.567911750409612,15.686257413679902,19.41403249496778,,,
228 VA Clinic,,18.064325951701928,18.064325951701928,18.064325951701928,18.064325951701928,18.064325951701928,16.36145790390218,15.7226540690739,17.68798582770814,18.064325951701928,19.690442606543343,,,,,,,17.32700652510185,17.32700652510185,17.32700652510185,17.78990717087461,,,
233 Decker/Daffan Ln,,18.30294502254216,18.30294502254216,18.30294502254216,18.30294502254216,16.538522301860077,16.538522301860077,16.538522301860077,16.538522301860077,16.538522301860077,16.41195197812135,16.41195197812135,16.41195197812135,,,,,,17.11033291336056,17.22485990742589,17.94556534288304,,,
237 Northeast Feeder,,19.311622836477223,19.311622836477223,19.311622836477223,19.311622836477223,19.311622836477223,16.024538098353442,16.024538098353442,16.024538098353442,17.93222120530028,17.93222120530028,17.989330190030536,18.104646409197397,16.6666500637733,,,,14.575314687054249,14.520950333340844,14.577160463663454,19.478102343688235,,,
243 Wells Branch,,16.474418298884757,16.482036846014154,16.510533758183357,16.475497664562152,16.483489368509176,16.44991881469723,13.175431717801121,14.446669612155471,16.8885284866332,18.149299500204748,18.167454486493135,18.173756800002103,18.158286012817534,17.501555211145803,16.792025842618024,17.066187466147664,16.26035330691245,16.109305391886984,16.070225112140847,16.49285327573062,,,
