,ST_YEAR,ST_MONTH,GEOID,Unnamed: 0_x,membership_type,geometry_x,index_right_x,area_x,Unnamed: 0_y,driver,geometry_y,index_right_y,area_y,observed,simulated
245,,,4.8453E+11,,,,0,,21,21,21,21,21,0,105
246,,,4.8453E+11,,,,0,,19,19,19,19,19,0,95
247,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
248,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
249,,,4.8453E+11,,,,0,,17,17,17,17,17,0,85
250,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
251,,,4.8453E+11,,,,0,,6,6,6,6,6,0,30
252,,,4.8453E+11,,,,0,,13,13,13,13,13,0,65
253,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
254,,,4.8453E+11,,,,0,,12,12,12,12,12,0,60
255,,,4.8453E+11,,,,0,,13,13,13,13,13,0,65
256,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
257,,,4.8453E+11,,,,0,,5,5,5,5,5,0,25
258,,,4.8453E+11,,,,0,,1,1,1,1,1,0,5
259,,,4.8453E+11,,,,0,,5,5,5,5,5,0,25
260,,,4.8453E+11,,,,0,,11,11,11,11,11,0,55
261,,,4.8453E+11,,,,0,,5,5,5,5,5,0,25
262,,,4.8453E+11,,,,0,,9,9,9,9,9,0,45
263,,,4.8453E+11,,,,0,,9,9,9,9,9,0,45
264,,,4.8453E+11,,,,0,,27,27,27,27,27,0,135
265,,,4.8453E+11,,,,0,,12,12,12,12,12,0,60
266,,,4.8453E+11,,,,0,,37,37,37,37,37,0,185
267,,,4.8453E+11,,,,0,,95,95,95,95,95,0,475
268,,,4.8453E+11,,,,0,,13,13,13,13,13,0,65
269,,,4.8453E+11,,,,0,,16,16,16,16,16,0,80
270,,,4.8453E+11,,,,0,,22,22,22,22,22,0,110
271,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
272,,,4.8453E+11,,,,0,,11,11,11,11,11,0,55
273,,,4.8453E+11,,,,0,,6,6,6,6,6,0,30
274,,,4.8453E+11,,,,0,,5,5,5,5,5,0,25
275,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
276,,,4.8453E+11,,,,0,,9,9,9,9,9,0,45
277,,,4.8453E+11,,,,0,,2,2,2,2,2,0,10
278,,,4.8453E+11,,,,0,,16,16,16,16,16,0,80
279,,,4.8453E+11,,,,0,,21,21,21,21,21,0,105
280,,,4.8453E+11,,,,0,,3,3,3,3,3,0,15
281,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
282,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
283,,,4.8453E+11,,,,0,,11,11,11,11,11,0,55
284,,,4.8453E+11,,,,0,,11,11,11,11,11,0,55
285,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
286,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
287,,,4.8453E+11,,,,0,,1,1,1,1,1,0,5
288,,,4.8453E+11,,,,0,,15,15,15,15,15,0,75
289,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
290,,,4.8453E+11,,,,0,,14,14,14,14,14,0,70
291,,,4.8453E+11,,,,0,,18,18,18,18,18,0,90
292,,,4.8453E+11,,,,0,,6,6,6,6,6,0,30
293,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
294,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
