taz,coord-x,coord-y,area
4845300001588,2952896,3654605,0
4805500001294,2985094,3593994,0
4849100001709,2943081,3675382,0
4845300000534,2976929,3621274,0
4845300001402,2980103,3659541,0
4845300000452,2967095,3632710,0
4802100001213,3003951,3651648,0
4845300001643,2971658,3634964,0
4849100001033,3000107,3697757,0
4849100001025,2963788,3694827,0
4845300000093,2953005,3620200,0
4845300001504,2972372,3626624,0
4820900000588,2950783,3600133,0
4845300000444,2974076,3631136,0
4845300001868,2974171,3628319,0
4849100000928,2956620,3657235,0
4849100000640,2966749,3680151,0
4849100000137,2967792,3664322,0
4845300000370,2964637,3635549,0
4845300000303,2977407,3639197,0
4845300000159,2971001,3660181,0
4845300000310,2960762,3639725,0
4820900001745,2974376,3604504,0
4845300000029,2951028,3637176,0
4845300000271,2961710,3640923,0
4849100000125,2967028,3666573,0
4845300001537,2942701,3638471,0
4845300001659,2962709,3624055,0
4845300000270,2979090,3644055,0
4849100001050,2964909,3659207,0
4845300001865,2964928,3629076,0
4805500001291,2980580,3592464,0
4820900000687,2935414,3618714,0
4820900000684,2956125,3584095,0
4849100000855,2933507,3679006,0
4845300001602,2962041,3652451,0
4805500001228,2975178,3592737,0
4845300001177,2956281,3652026,0
4845300000410,2968939,3634262,0
4849100001013,2972538,3671391,0
4845300000254,2973152,3643410,0
4849100001105,2953713,3677466,0
4820900000801,2958554,3582378,0
4820900000744,2928939,3613629,0
4849100000927,2954798,3659459,0
4805300001769,2935321,3709897,0
4845300001513,2967909,3623595,0
4849100001021,2977554,3690319,0
4845300001880,2963097,3647141,0
4845300000572,2996759,3660828,0
4845300001627,2968200,3636171,0
4820900000670,2953393,3582109,0
4845300001441,2970676,3633711,0
4802100001173,3013414,3625310,0
4820900000732,2945504,3604533,0
4845300000531,2969956,3623024,0
4849100000665,2979556,3670353,0
4849100000871,2955561,3683239,0
4849100000853,2941343,3675077,0
4820900000797,2958368,3583633,0
4820900000922,2955989,3585411,0
4845300000215,2964322,3649135,0
4845300001462,2962228,3618812,0
4805300001825,2904488,3659406,0
4845300000476,2967324,3631259,0
4845300001529,2973315,3639531,0
4845300001525,2976334,3636869,0
4802100001390,3020164,3636909,0
4805500001253,2972674,3583424,0
4845300001495,2954190,3626939,0
4845300001110,2927644,3658997,0
4845300000512,2965105,3625888,0
4845300000308,2973065,3633283,0
4845300000535,2962031,3622415,0
4849100000661,2984346,3672119,0
4845300000261,2966945,3643795,0
4805500001853,2983227,3593772,0
4820900000701,2958383,3585857,0
4849100000987,3008000,3681704,0
4845300001575,2963828,3645311,0
4845300001409,2967002,3635418,0
4849100001020,2975539,3694379,0
4802100001211,3004066,3649924,0
4820900000494,2965015,3601536,0
4849100001587,2957415,3656198,0
4849100001416,2946529,3668365,0
4805300001836,2901897,3653811,0
4845300001645,2971803,3635569,0
4845300000524,2987938,3631116,0
4849100001907,2993122,3669793,0
4820900000699,2948954,3619756,0
4845300000004,2934447,3665996,0
4820900000785,2955417,3578695,0
4845300000090,2949783,3622617,0
4845300000300,2975455,3641291,0
4802100001186,3035095,3618973,0
4845300000407,2968453,3633956,0
4845300000555,2976691,3612567,0
4849100000404,2979594,3669069,0
4845300000031,2953200,3639838,0
4820900000324,2963884,3602205,0
4849100000007,2952835,3658523,0
4845300000070,2948276,3627263,0
4845300001570,2957990,3622618,0
4849100000949,2960760,3671960,0
4845300000285,2964519,3641323,0
4805500001859,2973954,3577715,0
4845300000089,2958648,3623248,0
4845300001517,2967792,3621412,0
4845300000225,2975245,3648782,0
4845300000397,2974625,3636913,0
4849100000978,3000287,3663760,0
4802100001218,3005149,3650888,0
4845300001679,2957097,3633780,0
4849100001047,2949134,3663061,0
4805300001841,2900835,3651322,0
4845300000379,2968088,3634770,0
4845300000244,2978797,3645407,0
4845300001514,2967979,3624280,0
4845300001446,2969887,3635283,0
4802100001221,3002443,3650453,0
4845300001641,2967286,3633940,0
4849100001970,2956200,3663868,0
4802100001222,3000108,3645955,0
4845300001873,2983190,3643230,0
4845300000390,2970363,3636848,0
4849100001010,2976095,3673614,0
4820900000913,2958256,3585406,0
4849100000981,2994955,3667870,0
4802100001226,3003477,3651650,0
4802100001184,3034405,3628613,0
4849100000047,2968560,3664671,0
4845300000418,2970534,3634547,0
4845300001699,2964654,3645762,0
4820900001328,2963264,3603847,0
4820900000811,2956877,3613657,0
4845300001713,2968305,3633504,0
4849100001041,2952173,3659372,0
4849100000119,2955848,3660312,0
4805500001241,2992305,3591737,0
4820900001747,2966711,3592452,0
4849100000852,2932456,3675637,0
4849100000948,2965436,3673752,0
4845300000604,2978215,3618023,0
4845300000383,2968496,3634593,0
4805500001308,2992189,3570170,0
4845300000092,2954218,3621634,0
4845300001612,2968482,3630203,0
4849100001966,2951114,3663557,0
4845300000596,2970876,3611438,0
4845300000342,2965540,3638388,0
4802100001214,3004965,3651871,0
4805500001239,2979858,3587662,0
4805300001764,2910968,3706767,0
4845300001606,2966525,3632084,0
4845300000198,2962927,3649669,0
4849100000930,2954649,3663851,0
4849100001947,2964687,3668448,0
4849100000366,2965100,3677873,0
4849100001705,2947242,3671440,0
4849100000959,2969621,3682695,0
4849100001040,2950415,3658992,0
4820900001078,2939502,3596229,0
4820900000766,2923770,3621235,0
4820900001329,2964246,3610806,0
4845300000336,2960042,3637729,0
4845300001694,2961303,3636661,0
4845300001500,2960278,3626729,0
4845300001631,2965849,3651129,0
4845300000258,2965900,3643924,0
4845300001411,2969118,3634647,0
4845300000071,2947696,3622726,0
4805500001282,2996839,3567681,0
4820900000900,2959018,3583853,0
4849100000862,2961643,3682534,0
4845300001485,2969085,3614113,0
4845300000249,2968663,3645524,0
4820900001325,2961455,3605332,0
4845300001614,2966578,3630788,0
4849100001004,2979789,3675380,0
4845300001674,2970125,3644853,0
4820900000905,2958540,3584033,0
4849100000106,2963253,3675633,0
4845300001335,2980369,3623822,0
4820900001087,2962705,3611120,0
4849100000147,2966391,3660303,0
4845300000617,2991582,3643078,0
4849100000964,2993502,3674563,0
4849100001038,2939160,3681109,0
4845300001101,2991810,3648929,0
4849100000659,2991745,3673702,0
4805300001794,2922252,3677322,0
4802100001198,3027523,3645971,0
4802100001153,3029959,3620292,0
4845300001337,2982132,3627091,0
4805300001837,2908149,3646944,0
4805500001246,2980058,3572321,0
4849100000646,2984360,3680833,0
4845300000474,2966753,3629220,0
4849100001037,2948792,3685024,0
4849100001065,2952065,3664462,0
4845300000311,2962352,3639858,0
4845300001618,2965480,3631736,0
4845300000304,2981280,3641554,0
4849100001048,2953408,3655552,0
4845300001629,2975107,3651091,0
4849100001400,2969697,3663810,0
4845300001651,2969112,3637606,0
4845300000389,2969795,3636596,0
4805500001263,2989413,3589950,0
4849100000122,2964305,3663950,0
4805300001890,2907822,3681195,0
4820900000577,2948012,3613679,0
4845300001476,2952343,3645444,0
4845300000046,2955695,3633545,0
