GEOID,Unnamed: 0,driver,geometry,index_right,area
484530021042,9,9,9,9,9
484530021051,5,5,5,5,5
484530021052,32,32,32,32,32
484530021053,5,5,5,5,5
484530021061,3,3,3,3,3
484530021062,4,4,4,4,4
484530021063,6,6,6,6,6
484530021071,7,7,7,7,7
484530021072,7,7,7,7,7
484530021073,3,3,3,3,3
484530021074,5,5,5,5,5
484530021081,12,12,12,12,12
484530021082,8,8,8,8,8
484530021091,8,8,8,8,8
484530021092,7,7,7,7,7
484530021093,9,9,9,9,9
484530021101,8,8,8,8,8
484530021102,6,6,6,6,6
484530021111,10,10,10,10,10
484530021112,13,13,13,13,13
484530021113,6,6,6,6,6
484530021121,9,9,9,9,9
484530021122,9,9,9,9,9
484530021123,7,7,7,7,7
484530021131,5,5,5,5,5
484530021132,6,6,6,6,6
484530021133,4,4,4,4,4
484530022011,6,6,6,6,6
484530022012,3,3,3,3,3
484530022021,3,3,3,3,3
484530022022,2,2,2,2,2
484530022023,9,9,9,9,9
484530022071,4,4,4,4,4
484530022072,5,5,5,5,5
484530022081,15,15,15,15,15
484530022082,1,1,1,1,1
484530022084,9,9,9,9,9
484530022085,1,1,1,1,1
484530022091,5,5,5,5,5
484530022092,8,8,8,8,8
484530022093,6,6,6,6,6
484530022101,1,1,1,1,1
484530022102,5,5,5,5,5
484530022111,1,1,1,1,1
484530023041,7,7,7,7,7
484530023042,14,14,14,14,14
484530023043,11,11,11,11,11
484530023071,13,13,13,13,13
484530023072,25,25,25,25,25
484530023073,6,6,6,6,6
484530023074,17,17,17,17,17
484530023081,14,14,14,14,14
484530023082,7,7,7,7,7
484530023083,27,27,27,27,27
484530023084,15,15,15,15,15
484530023102,4,4,4,4,4
484530023121,6,6,6,6,6
484530023122,16,16,16,16,16
484530023123,12,12,12,12,12
484530023131,15,15,15,15,15
484530023132,17,17,17,17,17
484530023141,14,14,14,14,14
484530023142,13,13,13,13,13
484530023144,2,2,2,2,2
484530023151,20,20,20,20,20
484530023152,10,10,10,10,10
484530023161,17,17,17,17,17
484530023163,5,5,5,5,5
484530023171,16,16,16,16,16
484530023172,8,8,8,8,8
484530023181,12,12,12,12,12
484530023182,5,5,5,5,5
484530024021,11,11,11,11,11
484530024022,27,27,27,27,27
484530024023,4,4,4,4,4
484530024024,17,17,17,17,17
484530024031,31,31,31,31,31
484530024032,14,14,14,14,14
484530024071,7,7,7,7,7
484530024072,5,5,5,5,5
484530024091,5,5,5,5,5
484530024092,5,5,5,5,5
484530024093,3,3,3,3,3
484530024101,9,9,9,9,9
484530024102,12,12,12,12,12
484530024111,45,45,45,45,45
484530024112,12,12,12,12,12
484530024113,3,3,3,3,3
484530024121,7,7,7,7,7
484530024122,7,7,7,7,7
484530024123,9,9,9,9,9
484530024131,1,1,1,1,1
484530024132,12,12,12,12,12
484530024133,2,2,2,2,2
484530024191,2,2,2,2,2
484530024192,13,13,13,13,13
484530024211,23,23,23,23,23
484530024212,9,9,9,9,9
484530024213,3,3,3,3,3
484530024221,16,16,16,16,16
484530024222,13,13,13,13,13
484530024223,7,7,7,7,7
484530024231,6,6,6,6,6
484530024232,7,7,7,7,7
484530024233,5,5,5,5,5
484530024241,10,10,10,10,10
484530024242,18,18,18,18,18
484530024251,2,2,2,2,2
484530024252,3,3,3,3,3
484530024261,3,3,3,3,3
484530024271,8,8,8,8,8
484530024272,4,4,4,4,4
484530024273,20,20,20,20,20
484530024274,10,10,10,10,10
484530024282,5,5,5,5,5
484530024291,1,1,1,1,1
484530024302,2,2,2,2,2
484530024303,7,7,7,7,7
484530024311,38,38,38,38,38
484530024312,23,23,23,23,23
484530024313,9,9,9,9,9
484530024321,2,2,2,2,2
484530024322,1,1,1,1,1
484530024331,9,9,9,9,9
484530024332,18,18,18,18,18
484530024341,1,1,1,1,1
484530024351,2,2,2,2,2
484530024352,11,11,11,11,11
484530025001,3,3,3,3,3
484530025002,20,20,20,20,20
484530025003,12,12,12,12,12
484530025004,16,16,16,16,16
484539800001,2,2,2,2,2
484910201051,8,8,8,8,8
484910201052,2,2,2,2,2
484910201053,2,2,2,2,2
484910201061,11,11,11,11,11
484910201062,4,4,4,4,4
484910201071,1,1,1,1,1
484910201072,2,2,2,2,2
484910201073,4,4,4,4,4
484910201081,2,2,2,2,2
484910201082,3,3,3,3,3
484910201083,2,2,2,2,2
484910201093,1,1,1,1,1
484910201101,3,3,3,3,3
484910201102,1,1,1,1,1
484910201103,8,8,8,8,8
484910201111,14,14,14,14,14
484910201112,8,8,8,8,8
484910201121,13,13,13,13,13
484910201122,2,2,2,2,2
484910201131,8,8,8,8,8
484910201132,5,5,5,5,5
484910201141,15,15,15,15,15
484910201142,21,21,21,21,21
484910201143,2,2,2,2,2
484910201151,3,3,3,3,3
484910201152,10,10,10,10,10
484910202012,3,3,3,3,3
484910202021,2,2,2,2,2
484910202022,2,2,2,2,2
484910202023,2,2,2,2,2
484910202031,1,1,1,1,1
484910202032,2,2,2,2,2
484910202042,2,2,2,2,2
484910202043,4,4,4,4,4
484910203011,5,5,5,5,5
484910203013,6,6,6,6,6
484910203021,2,2,2,2,2
484910203022,2,2,2,2,2
484910203102,7,7,7,7,7
484910203111,15,15,15,15,15
484910203112,5,5,5,5,5
484910203121,6,6,6,6,6
484910203122,7,7,7,7,7
484910203123,4,4,4,4,4
484910203124,5,5,5,5,5
484910203131,7,7,7,7,7
484910203132,23,23,23,23,23
484910203133,7,7,7,7,7
484910203134,2,2,2,2,2
484910203141,4,4,4,4,4
484910203142,1,1,1,1,1
484910203143,5,5,5,5,5
484910203151,5,5,5,5,5
484910203152,1,1,1,1,1
484910203161,18,18,18,18,18
484910203162,7,7,7,7,7
484910203171,6,6,6,6,6
484910203172,6,6,6,6,6
484910203181,13,13,13,13,13
484910203182,35,35,35,35,35
484910203183,11,11,11,11,11
484910203191,1,1,1,1,1
484910203192,11,11,11,11,11
484910203201,5,5,5,5,5
484910203202,6,6,6,6,6
484910203203,5,5,5,5,5
484910203204,4,4,4,4,4
484910203211,4,4,4,4,4
484910203212,2,2,2,2,2
484910203221,6,6,6,6,6
484910203222,13,13,13,13,13
484910203223,9,9,9,9,9
484910203224,7,7,7,7,7
484910203231,10,10,10,10,10
484910203232,6,6,6,6,6
484910203241,12,12,12,12,12
484910203242,3,3,3,3,3
484910203243,13,13,13,13,13
484910203251,6,6,6,6,6
484910203252,5,5,5,5,5
484910203261,8,8,8,8,8
484910203262,14,14,14,14,14
484910203271,18,18,18,18,18
484910203272,8,8,8,8,8
484910203281,8,8,8,8,8
484910203282,8,8,8,8,8
484910203283,5,5,5,5,5
484910204031,6,6,6,6,6
484910204032,13,13,13,13,13
484910204041,10,10,10,10,10
484910204042,2,2,2,2,2
484910204051,17,17,17,17,17
484910204052,8,8,8,8,8
484910204053,6,6,6,6,6
484910204054,36,36,36,36,36
484910204061,13,13,13,13,13
484910204062,40,40,40,40,40
484910204081,21,21,21,21,21
484910204082,10,10,10,10,10
484910204083,4,4,4,4,4
484910204091,13,13,13,13,13
484910204092,11,11,11,11,11
484910204101,6,6,6,6,6
484910204102,17,17,17,17,17
484910204103,3,3,3,3,3
484910204104,8,8,8,8,8
484910204111,3,3,3,3,3
484910204112,1,1,1,1,1
484910204113,4,4,4,4,4
484910205031,18,18,18,18,18
484910205032,8,8,8,8,8
484910205033,10,10,10,10,10
484910205041,13,13,13,13,13
484910205042,20,20,20,20,20
484910205043,56,56,56,56,56
484910205044,1,1,1,1,1
484910205051,16,16,16,16,16
484910205052,29,29,29,29,29
484910205061,8,8,8,8,8
484910205062,5,5,5,5,5
484910205063,9,9,9,9,9
484910205071,14,14,14,14,14
484910205072,4,4,4,4,4
484910205081,11,11,11,11,11
484910205082,3,3,3,3,3
484910205091,8,8,8,8,8
484910205092,7,7,7,7,7
484910205093,14,14,14,14,14
484910205101,25,25,25,25,25
484910205102,4,4,4,4,4
484910205103,5,5,5,5,5
484910205104,12,12,12,12,12
484910206021,16,16,16,16,16
484910206022,14,14,14,14,14
484910206023,17,17,17,17,17
484910206031,11,11,11,11,11
484910206032,5,5,5,5,5
484910206033,8,8,8,8,8
484910206041,8,8,8,8,8
484910206042,5,5,5,5,5
484910206051,5,5,5,5,5
484910206052,4,4,4,4,4
484910207011,35,35,35,35,35
484910207012,13,13,13,13,13
484910207031,30,30,30,30,30
484910207032,38,38,38,38,38
484910207033,125,125,125,125,125
