taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8453E+12,Public,NoCharger,Any,FlatFee,0,146,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,147,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,148,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,149,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,150,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,151,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,152,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,153,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,154,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,155,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,156,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,157,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,158,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,159,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,160,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,161,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,162,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,163,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,164,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,165,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,166,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,167,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,168,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,169,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,170,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,171,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,172,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,173,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,174,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,175,35
