,Unnamed: 0,1
4,25%,2.27222228050232
5,50%,3.5833332538604736
6,75%,4.883333206176758
7,max,14.216666221618652
0,count,1170.0
1,mean,3.452923536300659
2,std,2.0300137996673584
3,min,0.0
4,25%,2.0999999046325684
5,50%,3.136387586593628
6,75%,4.489583373069763
7,max,13.383333206176758
0,count,1261.0
1,mean,3.276841163635254
2,std,1.7526955604553225
3,min,0.0
4,25%,2.156666755676269
5,50%,3.1194443702697754
6,75%,4.162124156951904
7,max,14.449999809265137
0,count,1299.0
1,mean,3.262980699539185
2,std,1.7453590631484983
3,min,0.0
4,25%,2.1476200819015503
5,50%,3.050002098083496
6,75%,4.055179119110107
7,max,13.233333587646484
0,count,1364.0
1,mean,2.981907367706299
2,std,1.5119664669036863
3,min,0.0
4,25%,2.021667778491974
5,50%,2.828174114227295
6,75%,3.738782465457916
7,max,11.56666660308838
0,count,1397.0
1,mean,2.841350078582764
2,std,1.5375686883926392
3,min,0.0
4,25%,1.8786330223083496
5,50%,2.65625
6,75%,3.562502145767212
7,max,12.383333206176758
0,count,1079.0
1,mean,3.7243905067443848
2,std,2.13718843460083
3,min,0.0
4,25%,2.261110544204712
5,50%,3.4749999046325684
6,75%,4.8458333015441895
7,max,14.033333778381348
0,count,1106.0
1,mean,3.344822645187378
2,std,1.884255290031433
3,min,0.0
4,25%,2.0166666507720947
5,50%,3.1291667222976685
6,75%,4.357222199440002
7,max,13.533333778381348
0,count,1258.0
1,mean,3.3379666805267334
2,std,1.83882999420166
3,min,0.0
4,25%,2.1226388812065125
5,50%,3.144997358322144
6,75%,4.253796696662903
7,max,12.716666221618652
0,count,1287.0
1,mean,3.313861608505249
2,std,1.759434461593628
3,min,0.0
4,25%,2.2215278148651123
5,50%,3.130307197570801
6,75%,4.133329391479492
7,max,13.449999809265137
0,count,1357.0
1,mean,3.2690930366516118
2,std,1.6118597984313965
3,min,0.0
4,25%,2.258333444595337
5,50%,3.133706331253052
6,75%,4.050000190734863
7,max,12.68333339691162
0,count,1396.0
1,mean,2.8090646266937256
2,std,1.326027750968933
3,min,0.0
4,25%,2.024063766002655
5,50%,2.7208343744277954
6,75%,3.4434375166893005
7,max,10.383333206176758
0,count,999.0
1,mean,3.6339595317840576
2,std,2.190932273864746
3,min,0.0
4,25%,2.1350001096725464
5,50%,3.3111112117767334
6,75%,4.7791666984558105
7,max,14.833333015441896
0,count,979.0
1,mean,3.511316061019897
2,std,2.1064295768737797
3,min,0.0
4,25%,2.066666603088379
5,50%,3.2444443702697754
6,75%,4.575000047683716
7,max,14.916666984558104
0,count,1175.0
1,mean,3.410252094268799
2,std,1.889145851135254
3,min,0.0
4,25%,2.194344282150269
5,50%,3.172222137451172
6,75%,4.297913312911987
7,max,13.699999809265137
0,count,1210.0
1,mean,3.415391445159912
2,std,1.865346908569336
3,min,0.0
4,25%,2.179168999195099
5,50%,3.1666667461395264
6,75%,4.299404859542847
7,max,13.300000190734863
0,count,1323.0
1,mean,3.16158390045166
2,std,1.5698224306106567
3,min,0.0
4,25%,2.2009222507476807
5,50%,3.008333444595337
6,75%,3.8632349967956543
7,max,13.199999809265137
0,count,1394.0
1,mean,3.0680997371673584
2,std,1.48932683467865
3,min,0.0
4,25%,2.1963906288146973
5,50%,2.912936925888061
6,75%,3.7630189657211295
7,max,12.050000190734863
0,count,970.0
1,mean,3.679642915725708
2,std,2.224672079086304
3,min,0.0
4,25%,2.133333444595337
5,50%,3.4316656589508057
6,75%,4.913538217544556
7,max,14.699999809265137
0,count,959.0
1,mean,3.5376968383789062
2,std,2.2099976539611816
3,min,0.0
4,25%,1.93889182806015
5,50%,3.25
6,75%,4.690279006958008
7,max,14.81666660308838
0,count,1111.0
1,mean,3.497614622116089
2,std,2.0604023933410645
3,min,0.0
4,25%,2.122223734855652
5,50%,3.191666603088379
6,75%,4.520833492279053
7,max,13.616666793823242
0,count,1202.0
1,mean,3.596078395843506
2,std,1.9643921852111816
3,min,0.0
4,25%,2.296875
5,50%,3.371525764465332
6,75%,4.616666793823242
7,max,12.93333339691162
0,count,1321.0
1,mean,3.492782592773437
2,std,1.744728446006775
3,min,0.0
4,25%,2.4077749252319336
5,50%,3.3020832538604736
6,75%,4.25555944442749
7,max,14.449999809265137
0,count,1396.0
1,mean,3.2242722511291504
2,std,1.494789481163025
3,min,0.0
4,25%,2.366666555404663
5,50%,3.0791317224502563
6,75%,3.876614928245544
7,max,12.883333206176758
0,count,1318.0
1,mean,3.818257570266724
2,std,1.8092665672302248
3,min,0.0
4,25%,2.6383304595947266
5,50%,3.571797251701355
6,75%,4.66258692741394
7,max,13.02497673034668
0,count,1328.0
1,mean,3.8921616077423096
2,std,1.594065546989441
3,min,0.0
4,25%,2.8806241750717163
5,50%,3.715595126152039
6,75%,4.684737920761108
7,max,13.416666984558104
0,count,1338.0
1,mean,3.9664909839630127
2,std,1.622785568237305
3,min,0.0
4,25%,3.033333301544189
5,50%,3.8120946884155273
6,75%,4.7887513637542725
7,max,14.966666221618652
0,count,1366.0
1,mean,3.9169535636901855
2,std,1.432671308517456
3,min,0.0
4,25%,3.084144115447998
5,50%,3.740295052528381
6,75%,4.5857555866241455
7,max,13.93333339691162
0,count,1377.0
