,Unnamed: 0,1
6,75%,4.585145950317383
7,max,11.600000381469728
0,count,1396.0
1,mean,4.036243438720703
2,std,1.2775733470916748
3,min,0.0
4,25%,3.275250256061554
5,50%,3.892051696777344
6,75%,4.613255023956299
7,max,12.350000381469728
0,count,1410.0
1,mean,3.6945838928222656
2,std,1.130058765411377
3,min,0.0
4,25%,3.012263417243957
5,50%,3.5783021450042725
6,75%,4.234721899032593
7,max,10.283333778381348
0,count,1412.0
1,mean,3.091902017593384
2,std,0.950680136680603
3,min,0.2000000029802322
4,25%,2.551007568836212
5,50%,2.951281309127808
6,75%,3.509343564510345
7,max,14.483333587646484
