lever_position_fleetsize,lever_position_price,incRank,PotInex,PotInex_atBaseline_avg,DoorToDoorTime,duration_avg,waitTime_avg,IDMerged_avg,tripIndex_avg,income,incomeRank1to21_avg,incomePercentRank0to20_avg,incomePercentRank0to20b_avg,mode_RHplanned_avg,mode_RHplannedAtBaseline_avg,mode_switchedFromBaseline_avg,PotInex_RelativeToBaseline_avg,nRH_planned,nRH_plannedAtBaseline,nSwitched_RH,Pot_BetterWorse,NpersonTripObs,incomeCum,incomePctOfTotal,incomeCumPctOfTotal,incPercentRank,incomeAverage,incomeAverageCum,incomeAveragePct,incomeAveragePctCum,DoorToDoorTimeCum,DoorToDoorTimePctOfTotalTime,DoorToDoorTimeCumPctOfTotal,DoorToDoorTimeAverage,DoorToDoorTimeAverageCum,DoorToDoorTimeAveragePctOfTotalTime,DoorToDoorTimeAveragePctOfTotalTimeCum,PotInexCum,PotInexPctOfTotal,PotInexCumPctOfTotal,lever_position_fleetsizeXprice,lever_position_price_Char
1,0.25,1,-6.555245404581207,-7.4857181408234945,1243.045433464452,4.691765291925039,132.72732191627875,3671855.4068055707,1204368802.314195,19.238036570074033,2,0.05,0.04761933974861549,0.12480890461549032,0.045356167442499616,0.09803837367092086,0.9304727362422871,14532,5281,11415,0.9304727362422871,116434,26.874147018912,0.007551363293298062,0.010548708887111066,0.05,121.31544251623856,242.63088503247712,0.04761904761904762,0.09523809523809525,2425.7868577906797,0.04277598723571284,0.08347677797762612,1383.7819653958716,2767.563930791743,0.047619047619047616,0.09523809523809523,-12.56199676173853,1.09131292687358,2.09131292687358,1; 0.25,0.25
1,0.25,2,-6.559237420084525,-7.297540376613589,1285.6874280708385,4.993567171101224,132.38405448580312,3698631.1974680927,1213151265.9076903,27.809114914887402,3,0.1,0.09523867949723099,0.12094405414226085,0.04469484858374702,0.0946115395846574,0.7383029565290637,14082,5204,11016,0.7383029565290637,116434,54.6832619337994,0.010915704875727881,0.021464413762838943,0.1,121.31544251623856,363.94632754871566,0.04761904761904762,0.14285714285714288,3711.474285861518,0.04424339411230975,0.12772017208993586,1383.7819653958716,4151.345896187615,0.047619047619047616,0.14285714285714288,-19.121234181823056,1.091977514978856,3.183290441852436,1; 0.25,0.25
1,0.25,3,-5.55661433153872,-6.377844939417764,1297.3167373791161,5.019453080715255,121.76238899290585,3587167.422247797,1176591145.7409523,35.893990878952884,4,0.15,0.14285801924584648,0.12586529707817304,0.04945290894412285,0.09278217702732879,0.8212306078790444,14655,5758,10803,0.8212306078790444,116434,90.57725281275229,0.014089201056771729,0.035553614819610675,0.15,121.31544251623856,485.26177006495425,0.04761904761904762,0.1904761904761905,5008.791023240634,0.0446435847836552,0.17236375687359107,1383.7819653958716,5535.127861583486,0.047619047619047616,0.19047619047619047,-24.677848513361774,0.9250614851766347,4.10835192702907,1; 0.25,0.25
1,0.25,4,-5.734070815967101,-6.406043823687987,1338.1238641633886,5.258094714602264,119.92324406960167,3757007.8338715485,1232298802.9201097,43.772867066320835,5,0.2,0.19047735899446197,0.11746568871635434,0.046567153924111516,0.08977618221481698,0.6719730077208859,13677,5422,10453,0.6719730077208859,116434,134.35011987907313,0.0171818376788624,0.05273545249847308,0.2,121.31544251623856,606.5772125811928,0.04761904761904762,0.2380952380952381,6346.914887404023,0.046047849734442356,0.21841160660803344,1383.7819653958716,6918.909826979358,0.047619047619047616,0.23809523809523808,-30.411919329328875,0.9546043235391605,5.062956250568231,1; 0.25,0.25
1,0.25,5,-5.587811566851535,-6.382848930271223,1309.4223336826012,5.298555404778673,116.32358245873199,3752753.892041841,1230903510.3017757,51.580219102667606,6,0.25,0.23809669874307748,0.11695037531992374,0.046077606197502445,0.08920074892213614,0.7950373634196882,13617,5365,10386,0.7950373634196882,116434,185.93033898174073,0.020246399458354745,0.07298185195682781,0.25,121.31544251623856,727.8926550974313,0.04761904761904762,0.28571428571428575,7656.337221086624,0.04506016556100889,0.26347177216904233,1383.7819653958716,8302.69179237523,0.047619047619047616,0.28571428571428575,-35.99973089618041,0.9302551803136312,5.993211430881862,1; 0.25,0.25
1,0.25,6,-5.540708097009701,-6.330971888483856,1346.5470910558772,5.380009275641136,116.43163508940687,3701335.1295326096,1214038155.2425663,59.4373037171273,7,0.3,0.28571603849169297,0.11787793943349881,0.04743459814143635,0.08732844358177165,0.7902637914741552,13725,5523,10168,0.7902637914741552,116434,245.36764269886802,0.023330482396540963,0.09631233435336878,0.3,121.31544251623856,849.2080976136699,0.04761904761904762,0.33333333333333337,9002.884312142502,0.04633771190386636,0.3098094840729087,1383.7819653958716,9686.4737577711,0.047619047619047616,0.3333333333333333,-41.540438993190115,0.9224134257542872,6.91562485663615,1; 0.25,0.25
1,0.25,7,-5.255145507593168,-5.900709658699315,1376.4992313175817,5.425257444195374,113.49421555744506,3694368.122310686,1211752973.6238608,67.49127529136929,8,0.35,0.33333537824030846,0.11943349394072127,0.04836257761974698,0.08896962201437737,0.6455641511061458,13906,5631,10359,0.6455641511061458,116433,312.85891799023733,0.02649184790748941,0.1228041822608582,0.35,121.31544251623856,970.5235401299085,0.04761904761904762,0.380952380952381,10379.383543460082,0.04736843237073302,0.35717791644364166,1383.7819653958716,11070.255723166973,0.047619047619047616,0.38095238095238093,-46.79558450078328,0.8748731544100652,7.790498011046214,1; 0.25,0.25
1,0.25,8,-5.480544115863183,-6.227148463589593,1404.9225477313132,5.52808052699836,112.27560914860906,3565427.870827,1169460572.009782,75.61891887179752,9,0.4,0.3809543090075289,0.11220186716824268,0.04735770786632656,0.08401398229024418,0.7466043477264102,13064,5514,9782,0.7466043477264102,116433,388.47783686203485,0.0296821313426362,0.1524863136034944,0.4,121.31544251623856,1091.838982646147,0.04761904761904762,0.4285714285714286,11784.306091191396,0.04834654257280487,0.40552445901644657,1383.7819653958716,12454.037688562845,0.047619047619047616,0.4285714285714286,-52.27612861664646,0.9123973658961029,8.702895376942317,1; 0.25,0.25
1,0.25,9,-5.418540638759154,-5.963605461065347,1410.972086951294,5.606194120223648,112.2582687038898,3821311.4015270565,1253390371.7664747,84.41986562228921,10,0.45,0.4285732397747494,0.11268283046902511,0.04772701897228449,0.08122267741963189,0.5450648223061931,13120,5557,9457,0.5450648223061931,116433,472.89770248432404,0.03313670145928288,0.18562301506277729,0.45,121.31544251623856,1213.1544251623857,0.04761904761904762,0.4761904761904762,13195.27817814269,0.048554720814315014,0.45407917983076157,1383.7819653958716,13837.819653958715,0.047619047619047616,0.47619047619047616,-57.694669255405614,0.9020750679654338,9.604970444907751,1; 0.25,0.25
1,0.25,10,-5.534706091006526,-6.09859370075119,1422.378569649498,5.6562572466568755,112.32458151898517,3698856.1804471244,1213225058.583365,93.97595378457997,11,0.5,0.4761921705419699,0.1136189911794766,0.04685097867443079,0.08452930011251106,0.5638876097446631,13229,5455,9842,0.5638876097446631,116433,566.873656268904,0.03688768161328125,0.22251069667605852,0.5,121.31544251623856,1334.4698676786243,0.04761904761904762,0.5238095238095238,14617.656747792189,0.04894724352118252,0.5030264233519441,1383.7819653958716,15221.601619354587,0.047619047619047616,0.5238095238095238,-63.22937534641214,0.921414215757685,10.526384660665435,1; 0.25,0.25
