last_link,Charging Opportunity,endX,endY,Probability,Entropy
19661,390802121.01000005,-122.4069817,37.7894357,0.006780098884621107,0.033858210962782985
20717,528481645.91800004,-122.415169,37.7637004,0.009168726640405493,0.043019269892908635
20799,333230834.748,-121.7800326,37.9868503,0.005781283901830365,0.029791704579733277
2294,394789353.875,-122.2208878,37.7698037,0.006849274131241682,0.034134128851480795
25407,12375910.959999999,-122.2391358,38.1014347,0.00021471198743550063,0.00181350318408913
27561,1237739520.9599998,-122.0305904,38.2728035,0.021473773795863352,0.08247910977720878
28941,1143001694.675,-122.3437914,37.5785705,0.019830149578404413,0.07774512849385348
320,118317689.49,-122.5369968,37.9465334,0.0020527156620052433,0.012703419004307655
34282,1223619091.743,-122.0204084,37.6999708,0.021228795835822798,0.08178174354955399
35734,1028426916.1319999,-121.7842026,37.2355744,0.017842370376496684,0.07183658213038104
3580,107890715.22700001,-122.0768113,37.6493084,0.001871816140815771,0.011756589147504473
38102,736502214.56,-122.7010463,38.2562834,0.012777714283007826,0.05571150762269998
39778,155826150.0,-122.1179057,38.0128797,0.0027034569389728738,0.015986146392727957
42770,532752782.044,-121.9533111,37.3862247,0.009242827377651022,0.04329254798443052
44496,330061891.968,-122.6546321,38.2574759,0.005726305322511046,0.029563109171526367
45646,1107354630.5280004,-122.0501862,37.3594658,0.01921170201410139,0.07592917466749098
46004,2198364777.042001,-122.0912463,38.2459726,0.038139840526687924,0.12458363118454
46582,695596447.1720002,-122.0493179,37.3896127,0.012068032495393243,0.053306855996494144
48044,602076547.5899998,-121.8369691,37.2889026,0.010445538315456145,0.04764816229572493
48485,493514175.9520001,-122.01099,37.9216107,0.008562069482297511,0.040758989919364344
48504,61123902.17600001,-122.7108365,38.4443117,0.001060449978869441,0.007263087602877235
49996,1713819715.458,-122.248681,38.1197779,0.02973337788236086,0.10452724483022321
51617,1039811582.7000003,-122.0923197,37.6166878,0.01803988508010165,0.07243320780615242
51960,380371777.4779999,-121.9613165,37.3937689,0.00659914090935536,0.03313307096834437
52178,45631602.14300001,-121.9671983,37.3351856,0.0007916711761789842,0.005653612380950955
53023,1574141020.166,-122.6668768,38.3459604,0.027310066146725764,0.09832989101552532
54101,537724796.5439999,-122.0808397,37.5777881,0.009329087784525597,0.04360992206542442
55321,764758631.1949999,-121.875877,37.4187404,0.0132679401252198,0.0573494063668675
57809,450711118.68600005,-121.5212737,37.0187875,0.007819471258732204,0.0379333368271101
58288,2135677727.88,-122.2790895,37.8532855,0.03705227121922095,0.12210300413866101
60522,766353067.4800001,-122.1482061,38.0606723,0.013295602297701338,0.05744128248166996
