last_link,Charging Opportunity,endX,endY,Probability,Entropy
71591,607583.1960000001,-122.2208317,37.7736331,9.829573130393673e-06,0.00011333610908520787
71812,1194629.5899999996,-122.0793612,37.6752016,1.93268987620869e-05,0.0002097744048884795
71851,473499186.61,-122.1157588,37.705187,0.007660341682598007,0.0373188765411465
73244,604006097.968,-122.2553359,37.7727455,0.009771702295697099,0.04522602372978672
74233,702447562.521,-122.0363335,37.7020508,0.011364303245257872,0.05088114638969793
74241,429287930.693,-121.9432863,38.3586331,0.00694508527642396,0.03451513631191473
75006,676965745.164,-121.75984,37.2806226,0.010952054537829884,0.04944007356630423
75053,375189.325,-122.1535473,37.752406,6.069869825416531e-06,7.29123288503703e-05
7704,478505801.4800001,-121.9462414,37.32139,0.007741339457593058,0.03763204880077828
78294,2721442672.725001,-122.2780545,37.8004946,0.04402791246998938,0.13749615349354335
79007,1353027250.1250002,-122.4035611,37.805122,0.021889480140459872,0.08365610138639788
84293,153437876.20799997,-121.9527646,37.4017787,0.0024823412416409667,0.014890455787763083
87201,203060463.072,-121.9060092,37.4041627,0.00328514298090928,0.018785581276229302
90450,680281977.7800001,-122.0630311,37.3869445,0.011005705052246626,0.04962848252355343
92384,561633227.9999999,-121.8234294,38.0144054,0.009086187576334913,0.042714166590732607
96362,1771807179.2,-122.0367806,37.4205668,0.028664565372382225,0.10181921849074779
97463,379209093.5610002,-122.4067939,37.7885009,0.0061349022510954155,0.031249726647138425
