,endX,endY,vehicle,arrivalTime,departureTime,Parking Time,Cumulative Travel Length
277,-122.4027076,37.7832509,150936,66452.0,69533.0,3081.0,13528.182999999999
278,-122.4071627,37.7797361,150936,69584.0,75986.0,6402.0,14092.761999999999
279,-122.4042334,37.7917031,150936,76078.0,78595.0,2517.0,15998.867999999999
280,-122.4071627,37.7797361,150936,78689.0,149428.0,70739.0,17675.043999999998
281,-122.2627791,37.7950108,152112,26945.0,62460.0,35515.0,17834.770999999997
282,-122.1726784,37.769186,152112,62850.0,64596.0,1746.0,26929.165
283,-122.1255772,37.846476,152112,65557.0,86383.0,20826.0,41588.283
284,-122.2245196,37.8302075,152112,87448.0,92292.0,4844.0,59735.543000000005
285,-122.1255772,37.846476,152112,93022.0,112334.0,19312.0,76399.452
286,-122.2759958,37.8889392,152916,32809.0,52368.0,19559.0,14494.374999999998
287,-122.2291391,37.8368111,152916,53156.0,63257.0,10101.0,24335.279
288,-122.2160896,37.8165258,152916,63492.0,118382.0,54890.0,28122.926
289,-122.7065978,38.4393115,153004,29981.0,59067.0,29086.0,5425.8330000000005
290,-122.6767568,38.4706692,153004,59359.0,116049.0,56690.0,10863.521
291,-121.9777402,37.3998074,153308,39370.0,43053.0,3683.0,3504.2399999999993
292,-121.9529873,37.3863551,153308,43210.0,67424.0,24214.0,7003.478999999998
293,-121.8520448,37.3544044,153308,68047.0,70368.0,2321.0,19400.368
294,-121.9529873,37.3863551,153308,70823.0,125611.0,54788.0,30523.958000000002
295,-122.4305129,37.7807109,153317,51496.0,52813.0,1317.0,3079.3689999999997
296,-122.4120997,37.7897443,153317,53613.0,137710.0,84097.0,9137.567
297,-122.2875825,37.51404,153903,26166.0,27353.0,1187.0,677.8679999999999
298,-122.304551,37.5121515,153903,27445.0,56172.0,28727.0,2213.625
299,-122.3374245,37.5830206,153903,56755.0,66143.0,9388.0,14717.018000000002
300,-122.294818,37.5120674,153903,66818.0,112521.0,45703.0,27785.032000000003
301,-122.4009191,37.6268345,153950,36412.0,77360.0,40948.0,95842.61700000009
302,-122.144681,38.0467399,153950,80582.0,118281.0,37699.0,170952.8710000001
303,-121.8648439,37.344047,154357,30169.0,54265.0,24096.0,372.871
304,-121.8684156,37.3368369,154357,54341.0,116553.0,62212.0,1488.9630000000002
305,-122.3212334,37.5778984,154455,25059.0,39994.0,14935.0,33.855
306,-122.4364562,37.6718464,154455,40663.0,48339.0,7676.0,17431.346
307,-122.3780819,37.657126,154455,48609.0,62538.0,13929.0,24339.009000000005
308,-122.3182478,37.5864749,154455,63237.0,66773.0,3536.0,40388.448000000004
309,-122.3048373,37.5486072,154455,67208.0,77073.0,9865.0,48998.598
310,-122.3212334,37.5778984,154455,77250.0,111458.0,34208.0,53899.269
311,-122.060994,37.9025571,154612,30744.0,66834.0,36090.0,32848.687999999995
312,-122.2264944,37.7635561,154612,68604.0,115664.0,47060.0,66913.157
313,-122.0592738,37.9398506,154740,19736.0,25035.0,5299.0,12876.120000000004
314,-121.9529784,37.8319315,154740,25959.0,39322.0,13363.0,32712.341000000008
315,-122.0433234,37.8888946,154740,40202.0,48821.0,8619.0,47091.12800000001
316,-122.0392508,37.9309148,154740,49724.0,65177.0,15453.0,59671.626000000004
317,-121.9836228,37.9749296,154740,65716.0,66750.0,1034.0,66773.408
318,-122.0243626,37.8431533,154740,67923.0,105624.0,37701.0,87147.843
319,-121.9117793,37.328694,155958,23447.0,61846.0,38399.0,11171.256
320,-121.8225966,37.3448313,155958,62393.0,69329.0,6936.0,22103.016000000003
321,-121.7563028,37.3111291,155958,70856.0,76285.0,5429.0,40469.568999999996
322,-121.8198876,37.3461854,155958,76695.0,109404.0,32709.0,49104.244
323,-122.0250116,37.3616976,156161,50112.0,53502.0,3390.0,4963.213
324,-121.9867836,37.3500305,156161,53788.0,136227.0,82439.0,9958.062
325,-122.1416467,37.7025882,15633,52705.0,61907.0,9202.0,4439.682999999999
326,-122.1478384,37.7190503,15633,62024.0,62992.0,968.0,7136.549
327,-122.174579,37.7355585,15633,63145.0,138909.0,75764.0,10410.849
328,-122.1341583,37.8907112,157060,26361.0,59551.0,33190.0,19181.902000000006
329,-121.9943938,37.976497,157060,60424.0,111898.0,51474.0,37945.604
330,-122.6947115,38.3467002,157979,44448.0,47891.0,3443.0,12073.661
331,-122.6667019,38.3143528,157979,49504.0,53219.0,3715.0,44169.58800000001
332,-122.7101392,38.4411264,157979,53909.0,84999.0,31090.0,59640.98400000001
333,-122.6667019,38.3143528,157979,85752.0,129671.0,43919.0,77254.01100000001
334,-121.8073324,37.2667801,15829,35069.0,38104.0,3035.0,10051.48
335,-121.8011592,37.2484726,15829,38466.0,65531.0,27065.0,14132.119999999999
336,-121.8490201,37.2706858,15829,67056.0,71367.0,4311.0,34331.899999999994
337,-121.721273,37.2101291,15829,72018.0,120913.0,48895.0,49495.64399999999
338,-121.9727983,37.3198633,158329,36362.0,55770.0,19408.0,4562.752
339,-121.9552972,37.3299376,158329,55899.0,57865.0,1966.0,6711.504
340,-121.8893447,37.3571475,158329,59695.0,61290.0,1595.0,29986.605999999996
341,-122.0117939,37.301221,158329,62255.0,122493.0,60238.0,49740.253
342,-122.4082999,37.7976678,158386,28495.0,60830.0,32335.0,7167.563
343,-122.4460465,37.7835187,158386,61144.0,114480.0,53336.0,11687.681
344,-122.0949888,37.6104484,159194,32316.0,71135.0,38819.0,28058.831
345,-122.2120847,37.8114665,159194,72460.0,117450.0,44990.0,57753.014
346,-122.704924,38.4448669,159384,23889.0,67245.0,43356.0,5765.657
347,-122.7639008,38.4525511,159384,67624.0,110066.0,42442.0,11757.804000000002
348,-121.9871857,37.7982085,16,34111.0,45047.0,10936.0,19373.987999999998
349,-122.0231964,37.3230069,16,47819.0,49222.0,1403.0,91951.88600000001
350,-122.019111,37.3796278,16,49654.0,57682.0,8028.0,99453.67600000002
351,-122.0313717,37.7478109,16,60168.0,119217.0,59049.0,156989.421
