run,25%,50%,75%,count,max,mean,min,std,price_solo,price_pooled,size,n_fleets,Type,pc_diff
18,2.4552159309387207,3.148810625076294,3.9061570167541504,1391.0,13.31666660308838,3.287139177322388,0.0,1.408320069313049,0.47,0.47,4.0,5,RH solo,-11.921382291548637
19,2.34468150138855,3.103124976158142,3.8113377690315247,1404.0,13.783333778381348,3.160164356231689,0.0,1.3687483072280884,0.47,0.47,10.0,5,RH solo,-13.1993025239624
20,2.3499999046325684,3.479725956916809,4.698609709739685,1176.0,14.75,3.719655990600586,0.0,2.046966075897217,0.27,0.27,1.0,2,RH solo,-2.6650094963952777
21,2.1626665592193604,3.299999952316284,4.579999923706055,1221.0,13.966666221618652,3.554530620574951,0.0,1.992539882659912,0.27,0.27,1.0,5,RH solo,-7.692310257327336
22,2.433333396911621,3.41333556175232,4.576666831970215,1309.0,14.899999618530272,3.6579225063323975,0.0,1.8806037902832031,0.27,0.27,1.64,5,RH solo,-4.522083462240521
23,2.4260424375534058,3.259518384933472,4.292083024978638,1351.0,12.883333206176758,3.438253879547119,0.0,1.5899289846420288,0.27,0.27,2.0,5,RH solo,-8.82466177740747
24,2.484736442565918,3.2478387355804443,4.023038387298584,1391.0,13.300000190734863,3.3401694297790527,0.0,1.3917876482009888,0.27,0.27,4.0,5,RH solo,-9.151365251456237
25,2.4437499046325684,3.08648943901062,3.780558824539185,1405.0,10.333333015441896,3.1970109939575195,0.0,1.2266041040420532,0.27,0.27,10.0,5,RH solo,-13.66463222817598
26,2.137500047683716,3.375,4.822908401489258,1067.0,14.68333339691162,3.672839403152466,0.0,2.1806678771972656,0.125,0.125,1.0,2,RH solo,-5.5944068535970555
27,2.1466667652130127,3.3645832538604736,4.701667785644531,1099.0,14.350000381469728,3.60570764541626,0.0,2.0525355339050293,0.125,0.125,1.0,5,RH solo,-5.885784364102979
28,2.27406907081604,3.283333301544189,4.643747806549072,1249.0,12.416666984558104,3.587526321411133,0.0,1.952244997024536,0.125,0.125,1.64,5,RH solo,-8.158510272706181
29,2.250001907348633,3.1694488525390625,4.275927543640137,1285.0,14.116666793823242,3.4300613403320312,0.0,1.771567702293396,0.125,0.125,2.0,5,RH solo,-11.344089223366995
30,2.5467501878738403,3.2838196754455566,4.098312139511108,1382.0,14.733333587646484,3.44202208518982,0.0,1.5198851823806765,0.125,0.125,4.0,5,RH solo,-8.144905408513724
31,2.496465265750885,3.263760566711426,3.98841655254364,1406.0,12.766666412353516,3.343789577484131,0.0,1.381493091583252,0.125,0.125,10.0,5,RH solo,-8.705999351634855
32,2.275000095367432,3.5999999046325684,5.188889026641846,1021.0,14.899999618530272,3.892913818359375,0.0,2.259765625,0.0625,0.0625,1.0,2,RH solo,0.6992966885427103
33,2.066666603088379,3.222022771835327,4.5333333015441895,1038.0,13.016666412353516,3.5136501789093018,0.0,2.10085129737854,0.0625,0.0625,1.0,5,RH solo,-9.873490101827741
34,2.1666667461395264,3.266163825988769,4.557160973548889,1206.0,14.600000381469728,3.502727746963501,0.0,1.9725826978683472,0.0625,0.0625,1.64,5,RH solo,-8.638775316801613
35,2.418298959732056,3.461904764175415,4.587500095367432,1253.0,14.083333015441896,3.7037642002105713,0.0,1.976573467254639,0.0625,0.0625,2.0,5,RH solo,-3.1635043916034777
36,2.667593836784363,3.527782201766968,4.321040153503418,1355.0,13.0,3.5971546173095703,0.0,1.525818109512329,0.0625,0.0625,4.0,5,RH solo,-1.3207788891454868
37,2.567444562911988,3.2874984741210938,4.0212249755859375,1403.0,12.416666984558104,3.378263473510742,0.0,1.3310967683792114,0.0625,0.0625,10.0,5,RH solo,-8.042001950430677
